mould_position,datetime,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2023-03-14 13:16:55,3.22,5.87,2.65
A2,2023-03-14 13:22:48,3.11,6.04,2.93
A3,2023-03-14 13:31:35,3.27,6.29,3.02
A4,2023-03-14 13:39:21,3.25,6.44,3.19
A5,2023-03-14 13:47:38,3.23,5.6,2.37
A6,2023-03-14 13:57:14,3.29,6.48,3.19
B1,2023-03-14 14:04:58,3.34,6.15,2.81
B2,2023-03-14 14:13:25,3.16,6.27,3.11
B3,2023-03-14 14:21:57,3.27,6.28,3.01
B4,2023-03-14 14:30:59,3.3,6.33,3.03
B5,2023-03-14 14:38:21,3.28,6.2,2.92
B6,2023-03-14 14:43:54,3.31,6.5,3.19
C1,2023-03-14 14:49:32,3.48,6.6,3.12
C2,2023-03-14 14:56:03,3.33,6.35,3.02
C3,2023-03-14 15:05:23,3.15,6.31,3.16
C4,2023-03-14 15:11:40,3.19,6.03,2.84
C5,2023-03-14 15:17:30,3.27,6.33,3.06
C6,2023-03-14 15:22:59,3.01,6.02,3.01
D1,2023-03-14 15:29:51,3.11,6.25,3.14
D2,2023-03-14 15:36:41,3.23,6.43,3.2
D3,2023-03-14 15:43:31,3.23,6.17,2.94
D4,2023-03-14 15:49:54,3.22,6.41,3.19
D5,2023-03-14 15:56:16,3.14,6.43,3.29
D6,2023-03-14 16:05:06,3.19,6.44,3.25
E1,2023-03-14 16:14:13,3.29,6.5,3.21
E2,2023-03-14 16:21:09,3.34,6.65,3.31
E3,2023-03-14 16:27:43,3.31,6.25,2.94
A1,2023-03-15 10:29:54,3.22,5.64,2.42
A2,2023-03-15 10:30:08,3.11,5.8,2.69
A3,2023-03-15 10:30:22,3.27,6.06,2.79
A4,2023-03-15 10:30:34,3.25,6.15,2.9
A5,2023-03-15 10:30:45,3.23,5.44,2.21
A6,2023-03-15 10:30:55,3.29,6.24,2.95
B1,2023-03-15 10:31:05,3.34,5.95,2.61
B2,2023-03-15 10:31:15,3.16,6.09,2.93
B3,2023-03-15 10:31:27,3.27,6.05,2.78
B4,2023-03-15 10:31:39,3.3,6.13,2.83
B5,2023-03-15 10:31:51,3.28,5.98,2.7
B6,2023-03-15 10:32:03,3.31,6.3,2.99
C1,2023-03-15 10:32:13,3.48,6.33,2.85
C2,2023-03-15 10:32:26,3.33,6.12,2.79
C3,2023-03-15 10:32:39,3.15,6.15,3.0
C4,2023-03-15 10:32:52,3.19,5.81,2.62
C5,2023-03-15 10:33:02,3.27,6.16,2.89
C6,2023-03-15 10:33:13,3.01,5.77,2.76
D1,2023-03-15 10:33:24,3.11,6.0,2.89
D2,2023-03-15 10:33:35,3.23,6.21,2.98
D3,2023-03-15 10:33:44,3.23,5.95,2.72
D4,2023-03-15 10:33:55,3.22,6.21,2.99
D5,2023-03-15 10:34:05,3.14,6.2,3.06
D6,2023-03-15 10:34:19,3.19,6.31,3.12
E1,2023-03-15 10:34:28,3.29,6.32,3.03
E2,2023-03-15 10:34:37,3.34,6.39,3.05
E3,2023-03-15 10:34:47,3.31,6.02,2.71
A1,2023-03-16 13:14:48,3.22,5.58,2.36
A2,2023-03-16 13:14:59,3.11,5.72,2.61
A3,2023-03-16 13:15:11,3.27,5.96,2.69
A4,2023-03-16 13:15:24,3.25,6.05,2.8
A5,2023-03-16 13:15:36,3.23,5.36,2.13
A6,2023-03-16 13:15:47,3.29,6.14,2.85
B1,2023-03-16 13:16:13,3.34,5.85,2.51
B2,2023-03-16 13:16:24,3.16,5.97,2.81
B3,2023-03-16 13:16:34,3.27,5.95,2.68
B4,2023-03-16 13:16:44,3.3,6.04,2.74
B5,2023-03-16 13:16:56,3.28,5.89,2.61
B6,2023-03-16 13:17:08,3.31,6.18,2.87
C1,2023-03-16 13:17:19,3.48,6.24,2.76
C2,2023-03-16 13:17:32,3.33,6.02,2.69
C3,2023-03-16 13:17:43,3.15,6.05,2.9
C4,2023-03-16 13:17:54,3.19,5.73,2.54
C5,2023-03-16 13:18:04,3.27,6.03,2.76
C6,2023-03-16 13:18:17,3.01,5.7,2.69
D1,2023-03-16 13:18:27,3.11,5.9,2.79
D2,2023-03-16 13:18:38,3.23,6.11,2.88
D3,2023-03-16 13:18:50,3.23,5.86,2.63
D4,2023-03-16 13:19:00,3.22,6.13,2.91
D5,2023-03-16 13:19:11,3.14,6.1,2.96
D6,2023-03-16 13:19:21,3.19,6.19,3.0
E1,2023-03-16 13:19:30,3.29,6.19,2.9
E2,2023-03-16 13:19:39,3.34,6.28,2.94
E3,2023-03-16 13:19:50,3.31,5.92,2.61
A1,2023-03-17 09:13:58,3.22,5.56,2.34
