mould_position,datetime,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2023-03-15 14:10:42,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,3.21,6.13,2.92
A2,2023-03-15 14:17:11,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.34,6.72,3.38
A3,2023-03-15 14:24:23,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.21,6.61,3.4000000000000004
A4,2023-03-15 14:31:31,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,3.24,6.1,2.8599999999999994
A5,2023-03-15 14:40:45,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.26,6.65,3.390000000000001
A6,2023-03-15 14:48:12,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.17,6.36,3.1900000000000004
B1,2023-03-15 14:55:09,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.21,6.4,3.1900000000000004
B2,2023-03-15 15:03:39,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.36,6.46,3.1
B3,2023-03-20 14:44:00,1.0,0.5747,0.2728,0.1608,0.2139,0.7753,3.44,6.91,3.47
B4,2023-03-24 10:38:08,1.0,1.2421,0.103,0.5577,0.4567,0.9293,3.13,5.99,2.8600000000000003
B5,2023-03-30 11:54:06,1.0,0.1285,1.0094,0.035,0.3154,0.2326,3.16,6.7,3.54
B6,2023-04-05 10:12:16,1.0,0.5498,0.6752,0.2878,0.6473,0.5901,3.18,6.33,3.15
C1,2023-04-21 10:39:20,1.0,0.539,0.5826,0.31,0.3198,0.5586,3.16,6.51,3.35
C2,2023-04-25 13:14:49,1.0,0.8603,0.5223,0.6295,0.2918,0.5957,3.04,6.32,3.28
C3,2023-05-03 11:11:04,1.0,0.4064,0.772,0.2621,0.4165,0.455,3.24,6.54,3.3
C4,2023-05-10 14:15:41,1.0,0.1021,1.0871,0.4447,0.1913,0.0875,3.06,6.5,3.44
C5,2023-05-17 13:02:16,1.0,0.0009,1.2103,0.0438,0.2122,0.0016,3.22,6.72,3.5
C6,2023-05-25 10:41:15,1.0,0.2882,0.844,0.746,0.0268,0.178,3.22,6.9,3.68
D1,2023-06-01 09:29:19,1.0,0.0892,1.2236,0.1411,0.399,0.1254,3.21,6.76,3.55
