mould_position,datetime,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2023-03-15 14:10:42,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,3.21,6.13,2.92
A2,2023-03-15 14:17:11,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.34,6.72,3.38
A3,2023-03-15 14:24:23,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.21,6.61,3.4000000000000004
A4,2023-03-15 14:31:31,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,3.24,6.1,2.8599999999999994
A5,2023-03-15 14:40:45,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.26,6.65,3.390000000000001
A6,2023-03-15 14:48:12,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.17,6.36,3.1900000000000004
B1,2023-03-15 14:55:09,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.21,6.4,3.1900000000000004
B2,2023-03-15 15:03:39,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.36,6.46,3.1
B3,2023-03-20 14:59:49,1.0,0.3968,0.6537,0.3978,0.0243,0.3618,3.16,6.5,3.34
B4,2023-03-20 15:08:20,1.0,0.7033,0.9033,0.5985,0.8183,0.5032,3.36,6.6,3.24
B5,2023-03-24 10:58:26,1.0,0.415,1.04,0.8985,0.3412,0.2246,3.17,6.39,3.22
B6,2023-03-24 11:09:21,1.0,0.4092,1.0378,0.8284,0.3562,0.2348,3.16,6.56,3.3999999999999995
C1,2023-03-30 12:10:17,1.0,0.1427,1.026,0.0805,0.3323,0.2299,3.4,6.97,3.57
C2,2023-03-30 12:19:56,1.0,0.0992,1.0665,0.0781,0.2709,0.1608,3.23,6.51,3.28
C3,2023-04-05 10:36:49,1.0,0.4607,0.3192,0.0691,0.348,0.7632,3.24,6.67,3.43
C4,2023-04-05 10:42:32,1.0,0.4731,0.3745,0.0698,0.7203,0.7823,3.14,6.58,3.44
C5,2023-04-21 10:46:18,1.0,0.2458,0.7692,0.0502,0.3429,0.4272,3.16,6.8,3.64
C6,2023-04-21 10:52:03,1.0,0.539,0.1543,0.0728,0.3398,0.8848,3.14,6.51,3.37
D1,2023-04-25 13:28:11,1.0,0.4512,0.3369,0.069,0.3346,0.7476,3.1,6.52,3.4199999999999995
D2,2023-04-25 13:34:58,1.0,0.491,0.2557,0.0711,0.3414,0.8094,3.01,6.14,3.13
D3,2023-05-03 13:05:38,1.0,0.6007,0.0354,0.0775,0.4001,0.9747,3.19,6.46,3.27
D4,2023-05-03 13:13:06,1.0,0.605,0.0136,0.074,0.3866,0.9902,3.15,5.95,2.8000000000000003
D5,2023-05-10 14:38:30,1.0,0.5431,0.0922,0.0552,0.3539,0.9319,3.2,7.01,3.81
D6,2023-05-10 14:45:11,1.0,0.5816,0.0858,0.0809,0.3409,0.936,3.12,6.96,3.84
E1,2023-05-17 13:26:52,1.0,0.4508,0.1593,0.0084,0.3212,0.8794,3.21,6.99,3.78
E2,2023-05-17 13:32:41,1.0,0.4796,0.157,0.0324,0.2493,0.8743,3.24,6.68,3.4399999999999995
E3,2023-05-25 11:01:20,1.0,0.5855,0.1413,0.1106,0.1698,0.8792,3.11,6.48,3.370000000000001
E4,2023-05-25 11:07:37,1.0,0.5247,0.1469,0.0694,0.1182,0.8686,3.18,6.61,3.43
