mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,polymer_start_mass_g,polymer_end_mass_pct,delta_polymer_mass_pct
A1,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,2.92,86.55812619807782,-13.441873801922185
A2,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.38,85.98709109297509,-14.012908907024908
A3,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.4000000000000004,86.85736173285594,-13.142638267144063
A4,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,2.859999999999999,88.63235700646327,-11.367642993536734
A5,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.390000000000001,87.15968711293262,-12.840312887067384
A6,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.1900000000000004,86.9233551522451,-13.076644847754906
B1,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.1900000000000004,89.09176503080567,-10.908234969194323
B2,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.1,86.23431222073656,-13.765687779263445
B3,1.0,0.3968,0.6537,0.3978,0.0243,0.3618,3.34,89.46694781993318,-10.533052180066818
B4,1.0,0.7033,0.9033,0.5985,0.8183,0.5032,3.24,90.4908074332592,-9.509192566740792
B5,1.0,0.415,1.04,0.8985,0.3412,0.2246,3.22,88.87710897076407,-11.12289102923593
B6,1.0,0.4092,1.0378,0.8284,0.3562,0.2348,3.3999999999999995,89.54037771577852,-10.45962228422148
C1,1.0,0.1427,1.026,0.0805,0.3323,0.2299,3.57,87.50191749869838,-12.498082501301624
C2,1.0,0.0992,1.0665,0.0781,0.2709,0.1608,3.28,87.60169194286355,-12.398308057136449
C3,1.0,0.4607,0.3192,0.0691,0.348,0.7632,3.43,86.45882327755227,-13.54117672244773
C4,1.0,0.4731,0.3745,0.0698,0.7203,0.7823,3.44,87.66393773556344,-12.336062264436563
C5,1.0,0.2458,0.7692,0.0502,0.3429,0.4272,3.64,88.00663837703048,-11.993361622969516
C6,1.0,0.539,0.1543,0.0728,0.3398,0.8848,3.37,84.94768427676895,-15.052315723231048
D1,1.0,0.4512,0.3369,0.069,0.3346,0.7476,3.4199999999999995,86.22108816917856,-13.778911830821444
D2,1.0,0.491,0.2557,0.0711,0.3414,0.8094,3.13,84.96561895127925,-15.034381048720746
D3,1.0,0.6007,0.0354,0.0775,0.4001,0.9747,3.27,85.56195029761071,-14.438049702389293
D4,1.0,0.605,0.0136,0.074,0.3866,0.9902,2.8000000000000003,84.83612885089603,-15.163871149103969
D5,1.0,0.5431,0.0922,0.0552,0.3539,0.9319,3.81,85.17339093786046,-14.82660906213954
D6,1.0,0.5816,0.0858,0.0809,0.3409,0.936,3.84,85.40350101033764,-14.596498989662363
E1,1.0,0.4508,0.1593,0.0084,0.3212,0.8794,3.78,85.18123562346074,-14.818764376539264
E2,1.0,0.4796,0.157,0.0324,0.2493,0.8743,3.4399999999999995,84.69317447341093,-15.306825526589066
E3,1.0,0.5855,0.1413,0.1106,0.1698,0.8792,3.370000000000001,86.202566081412,-13.797433918587998
E4,1.0,0.5247,0.1469,0.0694,0.1182,0.8686,3.43,85.98015852618506,-14.019841473814935
