mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,polymer_start_mass_g,polymer_end_mass_pct,delta_polymer_mass_pct
A1,1.0,0.7581520939326862,0.6190615201859968,0.7952617927155294,0.1211717208578365,0.4478441538711506,3.0900000000000003,85.50784804126259,-14.49215195873741
A2,1.0,0.8937153230659705,0.0845535828215032,0.2952617927155294,0.6211717208578366,0.9478441538711506,3.12,85.57185332201442,-14.42814667798558
A3,1.0,0.2607373639626812,1.0998934119326682,0.5452617927155294,0.3711717208578365,0.1978441538711506,3.3300000000000005,86.62481005421131,-13.37518994578869
A4,1.0,0.3963005930959654,0.5653854745681748,0.0452617927155294,0.8711717208578366,0.6978441538711506,3.1700000000000004,86.75517649973246,-13.244823500267543
A5,1.0,0.0550259412759972,1.387184357806004,0.1702617927155294,0.4961717208578365,0.0728441538711506,3.27,87.0358002466895,-12.964199753310496
A6,1.0,0.8623554012160073,0.8526764204415105,0.6702617927155294,0.9961717208578366,0.5728441538711506,3.06,88.50079561989898,-11.49920438010102
B1,1.0,0.9301370157826492,0.2207666056304143,0.4202617927155294,0.2461717208578365,0.8228441538711506,3.2,87.7905644957147,-12.209435504285295
B2,1.0,0.6070737866493652,1.1824303891237573,0.9202617927155294,0.7461717208578366,0.3228441538711506,3.14,89.29035902369688,-10.70964097630312
B3,1.0,1.5010278525443517,0.3435878093331883,0.9827617927155294,0.4336717208578365,0.7603441538711506,2.63,87.69678044484442,-12.30321955515558
B4,1.0,0.3186983926043417,1.4302515928265314,0.4827617927155294,0.9336717208578366,0.2603441538711506,3.27,88.52606466480795,-11.473935335192053
B5,1.0,0.0165417780376997,1.1714276384443534,0.7327617927155294,0.1836717208578365,0.0103441538711506,3.3600000000000003,86.82384062455384,-13.17615937544616
B6,1.0,0.4333550071709838,0.8244197010798598,0.2327617927155294,0.6836717208578366,0.5103441538711506,3.3100000000000005,86.05181034857273,-13.94818965142727
C1,1.0,0.2549601421859813,0.8043827238887709,0.1077617927155294,0.3086717208578365,0.3853441538711506,3.34,86.0385202150843,-13.961479784915696
C2,1.0,1.249789602125991,0.2073747865242773,0.6077617927155294,0.8086717208578366,0.8853441538711506,2.96,87.39613519499358,-12.603864805006424
C3,1.0,0.6586248721559863,0.568378755206524,0.3577617927155294,0.5586717208578366,0.6353441538711506,2.8000000000000003,84.62297417816434,-15.37702582183566
C4,1.0,0.2418116430227022,0.9153866925710176,0.8577617927155294,0.0586717208578364,0.1353441538711506,3.14,85.31881517387905,-14.681184826120957
C5,1.0,0.9932,0.0954,0.3723,0.5488,0.9384,3.3,90.0642280659246,-9.935771934075404
C6,1.0,0.9354,0.1834,0.373,0.5664,0.8829,3.2700000000000005,89.10464275080831,-10.89535724919169
D1,1.0,0.6547,0.6738,0.3576,0.8295,0.6317,3.27,88.69715332653847,-11.30284667346153
D2,1.0,0.6562,0.3918,0.3589,0.0646,0.632,3.2,87.11037006763357,-12.889629932366432
D3,1.0,0.7294,0.4507,0.3534,0.5441,0.7081,3.37,88.14985746903736,-11.850142530962644
D4,1.0,0.7253,0.4473,0.3526,0.5158,0.7049,3.26,87.26115204502915,-12.73884795497085
D5,1.0,0.6865,0.5319,0.363,0.5522,0.6573,3.45,87.11401434003666,-12.88598565996334
D6,1.0,0.7021,0.5229,0.3735,0.5479,0.6622,3.25,87.22114404582648,-12.778855954173522
E1,1.0,1.1873,0.5805,0.9277,0.5592,0.6277,2.76,89.29647092043105,-10.703529079568952
E2,1.0,0.5339,0.575,0.2289,0.5673,0.6331,3.48,87.35037718812941,-12.649622811870586
E3,1.0,0.5985,0.6352,0.3488,0.5302,0.5849,3.32,87.23410736944271,-12.765892630557287
E4,1.0,0.4393,0.711,0.6591,0.0086,0.2951,3.37,87.4696065488795,-12.530393451120503
