mould_position,datetime,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2023-03-15 14:10:42,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,3.21,6.13,2.92
A2,2023-03-15 14:17:11,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.34,6.72,3.38
A3,2023-03-15 14:24:23,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.21,6.61,3.4000000000000004
A4,2023-03-15 14:31:31,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,3.24,6.1,2.8599999999999994
A5,2023-03-15 14:40:45,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.26,6.65,3.390000000000001
A6,2023-03-15 14:48:12,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.17,6.36,3.1900000000000004
B1,2023-03-15 14:55:09,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.21,6.4,3.1900000000000004
B2,2023-03-15 15:03:39,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.36,6.46,3.1
B3,2023-03-20 15:34:25,1.0,0.0915,1.2185,0.0801,0.4295,0.1476,3.33,6.86,3.53
B4,2023-03-20 15:41:34,1.0,1.3451,0.0128,0.5698,0.7997,0.9929,3.43,6.46,3.03
B5,2023-03-20 15:49:28,1.0,1.3357,0.0055,0.5609,0.3054,0.9958,3.24,6.33,3.09
B6,2023-03-24 11:34:13,1.0,0.1442,1.2664,0.0791,0.6513,0.2331,3.08,6.44,3.3600000000000003
C1,2023-03-24 11:42:22,1.0,0.1511,0.9433,0.0958,0.2326,0.2347,3.17,6.54,3.37
C2,2023-03-24 11:50:39,1.0,0.1395,1.0109,0.0711,0.3128,0.23,3.23,6.59,3.36
C3,2023-03-30 12:41:43,1.0,0.1444,0.8047,0.1118,0.0267,0.2162,3.06,6.64,3.58
C4,2023-03-30 12:49:12,1.0,0.1438,0.881,0.1168,0.1193,0.2129,3.17,6.58,3.41
C5,2023-03-30 12:54:43,1.0,0.1287,0.7956,0.056,0.0204,0.2203,3.18,6.69,3.51
C6,2023-04-05 11:05:13,1.0,0.9429,0.5453,0.6792,0.4381,0.6208,3.13,6.34,3.21
D1,2023-04-05 11:13:20,1.0,0.9275,0.539,0.6463,0.4615,0.6312,3.09,6.31,3.22
D2,2023-04-05 11:21:12,1.0,0.9848,0.5285,0.6884,0.4787,0.6426,3.17,6.28,3.1100000000000003
D3,2023-04-21 11:01:50,1.0,0.8121,0.6876,0.6261,0.5782,0.5643,3.33,6.57,3.24
D4,2023-04-21 11:09:58,1.0,0.8019,0.6609,0.6379,0.47,0.5504,3.12,6.26,3.14
D5,2023-04-21 11:17:34,1.0,0.7773,0.7144,0.6242,0.5572,0.5412,3.3,6.43,3.13
D6,2023-04-25 13:57:54,1.0,0.7528,0.8336,0.5323,0.9839,0.5798,3.16,6.34,3.18
E1,2023-04-25 14:15:41,1.0,0.6687,0.8407,0.4413,0.9805,0.5755,3.08,6.29,3.21
E2,2023-04-25 14:21:59,1.0,0.7198,0.7883,0.4925,0.8819,0.5811,3.13,6.29,3.16
E3,2023-05-04 13:07:50,1.0,0.8333,0.372,0.3829,0.6579,0.7756,3.29,6.09,2.8
E4,2023-05-04 13:14:41,1.0,0.773,0.3766,0.3349,0.646,0.7712,3.19,6.44,3.2500000000000004
E5,2023-05-04 13:21:39,1.0,0.7774,0.3738,0.337,0.6476,0.7731,3.24,6.72,3.4799999999999995
