mould_position,datetime,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2023-03-15 14:10:42,3.21,6.13,2.92
A2,2023-03-15 14:17:11,3.34,6.72,3.38
A3,2023-03-15 14:24:23,3.21,6.61,3.4000000000000004
A4,2023-03-15 14:31:31,3.24,6.1,2.859999999999999
A5,2023-03-15 14:40:45,3.26,6.65,3.390000000000001
A6,2023-03-15 14:48:12,3.17,6.36,3.1900000000000004
B1,2023-03-15 14:55:09,3.21,6.4,3.1900000000000004
B2,2023-03-15 15:03:39,3.36,6.46,3.1
A1,2023-03-16 13:22:48,3.21,5.87,2.66
A2,2023-03-16 13:23:00,3.34,6.48,3.14
A3,2023-03-16 13:23:11,3.21,6.3,3.09
A4,2023-03-16 13:23:20,3.24,5.9,2.66
A5,2023-03-16 13:23:29,3.26,6.35,3.09
A6,2023-03-16 13:23:41,3.17,6.07,2.9
B1,2023-03-16 13:23:51,3.21,6.21,3.0
B2,2023-03-16 13:24:03,3.36,6.17,2.81
A1,2023-03-17 09:28:03,3.21,5.82,2.61
A2,2023-03-17 09:28:17,3.34,6.38,3.04
A3,2023-03-17 09:28:26,3.21,6.24,3.03
A4,2023-03-17 09:28:35,3.24,5.85,2.61
A5,2023-03-17 09:28:43,3.26,6.29,3.03
A6,2023-03-17 09:28:53,3.17,6.01,2.84
B1,2023-03-17 09:29:02,3.21,6.14,2.93
B2,2023-03-17 09:29:12,3.36,6.11,2.75
A1,2023-03-17 16:34:46,3.21,5.79,2.58
A2,2023-03-17 16:35:00,3.34,6.36,3.02
A3,2023-03-17 16:35:08,3.21,6.22,3.01
A4,2023-03-17 16:35:18,3.24,5.83,2.59
A5,2023-03-17 16:35:27,3.26,6.28,3.02
A6,2023-03-17 16:35:36,3.17,6.0,2.83
B1,2023-03-17 16:35:45,3.21,6.12,2.91
B2,2023-03-17 16:35:54,3.36,6.1,2.74
A1,2023-03-20 11:14:20,3.21,5.72,2.51
A2,2023-03-20 11:14:30,3.34,6.24,2.9
A3,2023-03-20 11:14:39,3.21,6.14,2.93
A4,2023-03-20 11:14:48,3.24,5.76,2.52
A5,2023-03-20 11:14:56,3.26,6.19,2.93
A6,2023-03-20 11:15:03,3.17,5.92,2.75
B1,2023-03-20 11:15:15,3.21,6.04,2.83
B2,2023-03-20 11:15:24,3.36,6.01,2.65
B3,2023-03-20 15:34:25,3.33,6.86,3.53
B4,2023-03-20 15:41:34,3.43,6.46,3.03
B5,2023-03-20 15:49:28,3.24,6.33,3.09
B3,2023-03-21 09:54:50,3.33,6.67,3.34
B4,2023-03-21 09:55:00,3.43,6.31,2.88
B5,2023-03-21 09:55:11,3.24,6.16,2.92
B3,2023-03-22 09:37:49,3.33,6.54,3.21
B4,2023-03-22 09:37:56,3.43,6.23,2.8
B5,2023-03-22 09:38:03,3.24,6.07,2.83
B3,2023-03-23 09:55:13,3.33,6.5,3.17
B4,2023-03-23 09:55:21,3.43,6.21,2.78
B5,2023-03-23 09:55:30,3.24,6.07,2.83
B3,2023-03-24 10:04:13,3.33,6.48,3.15
B4,2023-03-24 10:04:24,3.43,6.2,2.77
B5,2023-03-24 10:04:35,3.24,6.03,2.79
B6,2023-03-24 11:34:13,3.08,6.44,3.3600000000000003
C1,2023-03-24 11:42:22,3.17,6.54,3.37
C2,2023-03-24 11:50:39,3.23,6.59,3.36
B6,2023-03-24 16:54:45,3.08,6.36,3.28
C1,2023-03-24 16:54:54,3.17,6.47,3.3
C2,2023-03-24 16:55:04,3.23,6.51,3.28
B6,2023-03-27 08:32:41,3.08,6.1,3.02
C1,2023-03-27 08:32:50,3.17,6.17,3.0
C2,2023-03-27 08:32:57,3.23,6.21,2.98
B6,2023-03-30 10:32:05,3.08,6.04,2.96
C1,2023-03-30 10:32:13,3.17,6.09,2.92
