mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,polymer_start_mass_g,polymer_end_mass_pct,delta_polymer_mass_pct
A1,1.0,0.9893535720905235,0.50236769709119,0.5742728539233592,0.8382409651843838,0.7267128158898362,2.92,86.55812619807782,-13.441873801922185
A2,1.0,0.1386143197306269,1.0348445876283,0.0742728539233592,0.3382409651843838,0.2267128158898361,3.38,85.98709109297509,-14.012908907024908
A3,1.0,0.4702339459105752,0.5694625503046631,0.3242728539233592,0.0882409651843838,0.4767128158898361,3.4000000000000004,86.85736173285594,-13.142638267144063
A4,1.0,1.6959731982704718,0.036985659767553,0.8242728539233592,0.5882409651843838,0.9767128158898362,2.8599999999999994,88.63235700646327,-11.367642993536734
A5,1.0,0.6766635506966667,0.7865285689664815,0.9492728539233592,0.2132409651843838,0.3517128158898361,3.390000000000001,87.15968711293262,-12.840312887067384
A6,1.0,0.999833579221809,0.2540516784293715,0.4492728539233592,0.7132409651843838,0.8517128158898362,3.1900000000000004,86.9233551522451,-13.076644847754906
B1,1.0,0.0812593125993413,1.7635541983452003,0.1992728539233592,0.9632409651843838,0.1017128158898361,3.1900000000000004,89.09176503080567,-10.908234969194323
B2,1.0,0.931998564959238,0.5827901236979265,0.6992728539233592,0.4632409651843838,0.6017128158898362,3.1,86.23431222073656,-13.765687779263445
B3,1.0,0.0915,1.2185,0.0801,0.4295,0.1476,3.53,89.27817838561015,-10.721821614389851
B4,1.0,1.3451,0.0128,0.5698,0.7997,0.9929,3.03,91.62274119384472,-8.377258806155282
B5,1.0,1.3357,0.0055,0.5609,0.3054,0.9958,3.09,90.8812003206438,-9.118799679356217
B6,1.0,0.1442,1.2664,0.0791,0.6513,0.2331,3.3600000000000003,88.723825469528,-11.276174530472003
C1,1.0,0.1511,0.9433,0.0958,0.2326,0.2347,3.37,87.12019252015,-12.87980747985
C2,1.0,0.1395,1.0109,0.0711,0.3128,0.23,3.36,87.47547305071299,-12.524526949287008
C3,1.0,0.1444,0.8047,0.1118,0.0267,0.2162,3.58,86.8436729840197,-13.156327015980295
C4,1.0,0.1438,0.881,0.1168,0.1193,0.2129,3.41,86.4866616809335,-13.513338319066506
C5,1.0,0.1287,0.7956,0.056,0.0204,0.2203,3.51,86.60553475112118,-13.394465248878817
C6,1.0,0.9429,0.5453,0.6792,0.4381,0.6208,3.21,87.98257467771967,-12.017425322280332
D1,1.0,0.9275,0.539,0.6463,0.4615,0.6312,3.22,86.78861301345191,-13.211386986548092
D2,1.0,0.9848,0.5285,0.6884,0.4787,0.6426,3.1100000000000003,87.57680062126822,-12.42319937873178
D3,1.0,0.8121,0.6876,0.6261,0.5782,0.5643,3.24,85.36079313959283,-14.639206860407173
D4,1.0,0.8019,0.6609,0.6379,0.47,0.5504,3.14,87.56111124883694,-12.438888751163065
D5,1.0,0.7773,0.7144,0.6242,0.5572,0.5412,3.13,86.56252741928846,-13.437472580711542
D6,1.0,0.7528,0.8336,0.5323,0.9839,0.5798,3.18,88.97417471900337,-11.025825280996628
E1,1.0,0.6687,0.8407,0.4413,0.9805,0.5755,3.21,88.5261316645702,-11.4738683354298
E2,1.0,0.7198,0.7883,0.4925,0.8819,0.5811,3.16,87.4821230884614,-12.517876911538592
E3,1.0,0.8333,0.372,0.3829,0.6579,0.7756,2.8,83.33316686849996,-16.66683313150004
E4,1.0,0.773,0.3766,0.3349,0.646,0.7712,3.2500000000000004,82.72017820307,-17.279821796929994
E5,1.0,0.7774,0.3738,0.337,0.6476,0.7731,3.4799999999999995,79.22430304119594,-20.775696958804062
