mould_position,datetime,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2023-03-14 13:16:55,1.0,1.0745,0.1451,0.4952069813528176,0.0712014119132798,0.8645610798763307,3.22,5.87,2.65
A2,2023-03-14 13:22:48,1.0,0.7682,0.1251,0.2455790248864089,0.0849824347928041,0.8846835724374356,3.11,6.04,2.93
A3,2023-03-14 13:31:35,1.0,0.4086,0.8539,0.6198010737771744,0.1955643842845761,0.2857769378487435,3.27,6.29,3.02
A4,2023-03-14 13:39:21,1.0,0.6365,0.3958,0.2884722977300098,0.2462578937924692,0.6824423386788782,3.25,6.44,3.19
A5,2023-03-14 13:47:38,1.0,1.8593,0.085,0.9653693744231748,0.8657009862107888,0.9544627275509906,3.23,5.6,2.37
A6,2023-03-14 13:57:14,1.0,0.3477,1.0551,0.8082724352571364,0.3238626882077395,0.2030282424858761,3.29,6.48,3.19
B1,2023-03-14 14:04:58,1.0,1.1403,0.3492,0.7378559982474614,0.2026382293505504,0.7096610123907814,3.34,6.15,2.81
B2,2023-03-14 14:13:25,1.0,0.1707,1.2545,0.4509764492412395,0.4673403246376285,0.1450637053601879,3.16,6.27,3.11
B3,2023-03-14 14:21:57,1.0,1.1997,0.1165,0.5457371177127676,0.2922452635682794,0.9098615041358358,3.27,6.28,3.01
B4,2023-03-14 14:30:59,1.0,0.0482,1.5142,0.0066319818121943,0.6723756863625971,0.0945598327495664,3.3,6.33,3.03
B5,2023-03-14 14:38:21,1.0,0.377,0.9907,0.4981532410434368,0.4198073329694816,0.3022519005219861,3.28,6.2,2.92
B6,2023-03-14 14:43:54,1.0,0.2107,1.0849,0.5628871605238882,0.286517675913267,0.1566951563394814,3.31,6.5,3.19
C1,2023-03-14 14:49:32,1.0,0.6972,0.177,0.2157142874944418,0.1533336625036382,0.8465718784597411,3.48,6.6,3.12
C2,2023-03-14 14:56:03,1.0,0.9398,0.5607,0.8237663723221894,0.2229587852343372,0.5414929157505689,3.33,6.35,3.02
C3,2023-03-14 15:05:23,1.0,0.1268,1.7872,0.4705390040125953,0.997286488474368,0.1051649579352597,3.15,6.31,3.16
C4,2023-03-14 15:11:40,1.0,1.2794,0.2362,0.6417350634466547,0.885975996122172,0.8747404035439431,3.19,6.03,2.84
C5,2023-03-14 15:17:30,1.0,0.1434,1.0113,0.7611939325958335,0.1080896403401436,0.0873232620818751,3.27,6.33,3.06
C6,2023-03-14 15:22:59,1.0,0.6826,0.7075,0.3928827796193024,0.8949322168481921,0.6266274390569312,3.01,6.02,3.01
D1,2023-03-14 15:29:51,1.0,0.7451,0.2251,0.264750337627886,0.3278213628159679,0.8305002409423592,3.11,6.25,3.14
D2,2023-03-14 15:36:41,1.0,0.3322,0.9372,0.7685730684647134,0.1728883407637742,0.2009639671223162,3.23,6.43,3.2
D3,2023-03-14 15:43:31,1.0,1.1318,0.5488,0.945513702847004,0.3386896389171545,0.5900344033030628,3.23,6.17,2.94
D4,2023-03-14 15:49:54,1.0,0.7357,0.9742,0.9385818953063104,0.5856048624048489,0.3856101977294651,3.22,6.41,3.19
D5,2023-03-14 15:56:16,1.0,0.9365,0.4588,0.629970747028586,0.3037788062264479,0.6481032677472873,3.14,6.43,3.29
D6,2023-03-14 16:05:06,1.0,0.0791,1.6202,0.2342901243114267,0.7862503843141083,0.0929434060129688,3.19,6.44,3.25
E1,2023-03-14 16:14:13,1.0,0.0383,1.4426,0.3498762206665037,0.498554109426424,0.0373283252889209,3.29,6.5,3.21
E2,2023-03-14 16:21:09,1.0,0.4445,0.453,0.1061283558961865,0.3908042772367143,0.6743122081561146,3.34,6.65,3.31
E3,2023-03-14 16:27:43,1.0,1.1286,0.5203,0.7091675795275943,0.8694586463503529,0.7216948083869331,3.31,6.25,2.94
