mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,estimated_halflife_hours,time_elapsed_halflives,lin_param_m,lin_param_c
A1,3,2023-03-16 13:14:48,11.385745837192264,0.0677167883467765,88.61425416280774,47.96,10.24,4.69,-0.0722,92.3225
A1,4,2023-03-17 09:13:58,11.710221044597509,0.0626970766122919,88.28211094889107,67.95,11.06,6.15,-0.0233,89.9709
A1,5,2023-03-17 16:29:41,11.936822879285687,0.059296582883286,88.04590962367251,75.21,11.69,6.43,-0.0176,89.4614
A1,6,2023-03-20 11:08:44,12.998833845707024,0.0412068739205481,86.7712480727428,141.86,16.82,8.43,-0.0026,87.1736
A2,3,2023-03-16 13:14:59,11.674752713875275,0.057255092757033,88.32524728612472,47.87,12.11,3.95,-0.0899,93.1715
A2,4,2023-03-17 09:14:09,12.131667304225662,0.0521103942265585,87.85502572567438,67.86,13.3,5.1,-0.0358,90.5604
A2,5,2023-03-17 16:29:52,12.155639615452763,0.051838163403168,87.82989312263858,75.12,13.37,5.62,-0.0249,89.8911
A2,6,2023-03-20 11:09:00,12.844770711819145,0.0418573262102907,87.02070560067678,141.77,16.56,8.56,-0.0024,87.3925
A3,3,2023-03-16 13:15:11,12.289883783328929,0.0460808496573039,87.71011621667108,47.73,15.04,3.17,-0.1126,94.2273
A3,4,2023-03-17 09:14:21,12.479302148605576,0.0445664014612569,87.51500665096901,67.71,15.55,4.35,-0.0478,91.2719
A3,5,2023-03-17 16:30:01,12.3986205857071,0.0452714167442565,87.59957049609191,74.97,15.31,4.9,-0.0334,90.4575
A3,6,2023-03-20 11:09:11,13.23762211958621,0.0358072536154594,86.61178676320101,141.63,19.36,7.32,-0.0047,87.3472
A4,3,2023-03-16 13:15:24,13.10631293670257,0.0567266784056305,86.89368706329743,47.6,12.22,3.9,-0.1034,92.4552
A4,4,2023-03-17 09:14:32,13.410152637791452,0.0536405253002661,86.58116309853426,67.59,12.92,5.23,-0.038,89.4246
A4,5,2023-03-17 16:30:09,13.57864203394602,0.0518924554597426,86.40456403027235,74.85,13.36,5.6,-0.0281,88.7261
A4,6,2023-03-20 11:09:22,14.240329000057796,0.0431850211432152,85.62971194614533,141.5,16.05,8.82,-0.0024,85.9902
A5,3,2023-03-16 13:15:36,11.833639840570758,0.0407906841266401,88.16636015942925,47.47,16.99,2.79,-0.1164,95.1947
A5,4,2023-03-17 09:14:41,11.222988053365254,0.0455692807080352,88.79385780092211,67.45,15.21,4.43,-0.0421,92.073
A5,5,2023-03-17 16:30:19,11.31186823071432,0.0447251131042019,88.70108873351973,74.71,15.5,4.82,-0.0315,91.3969
A5,6,2023-03-20 11:09:32,12.381324649378898,0.0325599069687882,87.43451790160493,141.36,21.29,6.64,-0.0061,88.4075
A6,3,2023-03-16 13:15:47,11.800615745007471,0.0493583089904506,88.19938425499254,47.31,14.04,3.37,-0.1056,94.1204
A6,4,2023-03-17 09:14:52,12.372902706296118,0.0444205485289738,87.60843899246865,67.29,15.6,4.31,-0.0485,91.4042
A6,5,2023-03-17 16:30:28,12.353867582945805,0.044587285914237,87.62849599007072,74.55,15.55,4.8,-0.0349,90.6062
A6,6,2023-03-20 11:09:45,13.16385233175413,0.0355210701726815,86.66971528532258,141.21,19.51,7.24,-0.0048,87.4327
B1,3,2023-03-16 13:16:13,12.411342995357009,0.0416952786780449,87.588657004643,47.19,16.62,2.84,-0.1224,94.8808
B1,4,2023-03-17 09:15:04,12.096104556882898,0.0439948674098962,87.91317013897962,67.17,15.76,4.26,-0.0483,91.699
B1,5,2023-03-17 16:30:37,11.937255592553203,0.0453871876240099,88.07924575198662,74.43,15.27,4.87,-0.0328,90.8673
B1,6,2023-03-20 11:09:56,12.841306867811802,0.0350345637485816,87.01215575022121,141.08,19.78,7.13,-0.005,87.7982
B2,3,2023-03-16 13:16:24,12.867409565116262,0.0294363594952292,87.13259043488374,47.05,23.55,2.0,-0.1367,96.6081
B2,4,2023-03-17 09:15:14,12.025953182172596,0.0332081983163011,87.99517813209458,67.03,20.87,3.21,-0.0653,93.5738
B2,5,2023-03-17 16:30:46,11.975257191025063,0.0334958613264359,88.04807218911377,74.29,20.69,3.59,-0.0506,92.7286
B2,6,2023-03-20 11:10:09,13.061131405021433,0.0261941992233741,86.80779721343576,140.95,26.46,5.33,-0.0118,88.7819
B3,3,2023-03-16 13:16:34,12.19603809375542,0.0488592124992836,87.80396190624458,46.91,14.19,3.31,-0.1121,94.064
B3,4,2023-03-17 09:15:24,12.092600300116166,0.0498017767162776,87.91052120546578,66.89,13.92,4.81,-0.0406,90.9723
B3,5,2023-03-17 16:30:55,12.194887347346496,0.0487660434131258,87.80328944493698,74.15,14.21,5.22,-0.0297,90.2744
B3,6,2023-03-20 11:10:19,13.113893549880444,0.0371316778139461,86.70644703202701,140.81,18.67,7.54,-0.0042,87.3558
B4,3,2023-03-16 13:16:44,10.715800250133736,0.047825750688751,89.28419974986626,46.76,14.49,3.23,-0.1005,94.926
B4,4,2023-03-17 09:15:35,11.02403494027744,0.0449514107228438,88.96579575757825,66.74,15.42,4.33,-0.0436,92.3394
B4,5,2023-03-17 16:31:05,11.196822765841908,0.0433005141231546,88.78342900965205,74.0,16.01,4.62,-0.034,91.6915
B4,6,2023-03-20 11:10:30,11.770457268200577,0.0363050710181863,88.1051446121675,140.66,19.09,7.37,-0.0041,88.7438
B5,3,2023-03-16 13:16:56,11.616813340073062,0.0525711390849278,88.38318665992693,46.64,13.18,3.54,-0.1029,93.9577
B5,4,2023-03-17 09:15:45,12.350967666049009,0.0457534363110612,87.62332631996796,66.62,15.15,4.4,-0.0479,91.3054
B5,5,2023-03-17 16:31:14,12.604680425870075,0.0435237130099183,87.35429096031977,73.88,15.93,4.64,-0.0382,90.6086
B5,6,2023-03-20 11:10:45,13.690050470196534,0.0324932709652345,86.05426120295216,140.54,21.33,6.59,-0.0069,87.1612
