mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,x1,x2,x3,polymer_start_mass_g,polymer_end_mass_pct,delta_polymer_mass_pct
A1,1.0,1.0745,0.1451,0.4952069813528176,0.0712014119132798,0.8645610798763307,2.65,87.16276574136664,-12.83723425863336
A2,1.0,0.7682,0.1251,0.2455790248864089,0.0849824347928041,0.8846835724374356,2.93,87.40242151697687,-12.597578483023128
A3,1.0,0.4086,0.8539,0.6198010737771744,0.1955643842845761,0.2857769378487435,3.02,87.10283918256941,-12.897160817430589
A4,1.0,0.6365,0.3958,0.2884722977300098,0.2462578937924692,0.6824423386788782,3.19,85.99224167858789,-14.007758321412112
A5,1.0,1.8593,0.085,0.9653693744231748,0.8657009862107888,0.9544627275509906,2.37,87.99609741756808,-12.00390258243192
A6,1.0,0.3477,1.0551,0.8082724352571364,0.3238626882077395,0.2030282424858761,3.19,87.17105875606444,-12.82894124393556
B1,1.0,1.1403,0.3492,0.7378559982474614,0.2026382293505504,0.7096610123907814,2.81,87.52360199582084,-12.47639800417916
B2,1.0,0.1707,1.2545,0.4509764492412395,0.4673403246376285,0.1450637053601879,3.11,87.57936344374338,-12.420636556256625
B3,1.0,1.1997,0.1165,0.5457371177127676,0.2922452635682794,0.9098615041358358,3.01,87.17030412719944,-12.829695872800556
B4,1.0,0.0482,1.5142,0.0066319818121943,0.6723756863625971,0.0945598327495664,3.03,88.58741349186639,-11.412586508133614
B5,1.0,0.377,0.9907,0.4981532410434368,0.4198073329694816,0.3022519005219861,2.92,86.62110515575269,-13.378894844247313
B6,1.0,0.2107,1.0849,0.5628871605238882,0.286517675913267,0.1566951563394814,3.19,86.8936058168792,-13.106394183120798
C1,1.0,0.6972,0.177,0.2157142874944418,0.1533336625036382,0.8465718784597411,3.12,86.31466170867374,-13.68533829132626
C2,1.0,0.9398,0.5607,0.8237663723221894,0.2229587852343372,0.5414929157505689,3.02,87.36784125161496,-12.632158748385038
C3,1.0,0.1268,1.7872,0.4705390040125953,0.997286488474368,0.1051649579352597,3.16,89.73798527262366,-10.26201472737634
C4,1.0,1.2794,0.2362,0.6417350634466547,0.885975996122172,0.8747404035439431,2.84,87.71182137863065,-12.288178621369354
C5,1.0,0.1434,1.0113,0.7611939325958335,0.1080896403401436,0.0873232620818751,3.06,86.59003770243432,-13.409962297565684
C6,1.0,0.6826,0.7075,0.3928827796193024,0.8949322168481921,0.6266274390569312,3.01,87.05151704879157,-12.948482951208431
D1,1.0,0.7451,0.2251,0.264750337627886,0.3278213628159679,0.8305002409423592,3.14,86.62736658995718,-13.372633410042823
D2,1.0,0.3322,0.9372,0.7685730684647134,0.1728883407637742,0.2009639671223162,3.2,87.53681798956285,-12.463182010437151
D3,1.0,1.1318,0.5488,0.945513702847004,0.3386896389171545,0.5900344033030628,2.94,87.77711292488885,-12.222887075111146
D4,1.0,0.7357,0.9742,0.9385818953063104,0.5856048624048489,0.3856101977294651,3.19,89.28429612960691,-10.715703870393083
D5,1.0,0.9365,0.4588,0.629970747028586,0.3037788062264479,0.6481032677472873,3.29,87.53724519942729,-12.46275480057271
D6,1.0,0.0791,1.6202,0.2342901243114267,0.7862503843141083,0.0929434060129688,3.25,89.15419937221739,-10.845800627782609
E1,1.0,0.0383,1.4426,0.3498762206665037,0.498554109426424,0.0373283252889209,3.21,87.83955650801737,-12.160443491982631
E2,1.0,0.4445,0.453,0.1061283558961865,0.3908042772367143,0.6743122081561146,3.31,86.57490895699182,-13.42509104300818
E3,1.0,1.1286,0.5203,0.7091675795275943,0.8694586463503529,0.7216948083869331,2.94,86.98327791965811,-13.016722080341893
