mould_position,datetime,s1,s2,b1,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-04-04 13:03:56,0.0,0.0,0.0,1.0,0.5,0.0,3.15,6.87,3.72
A2,2023-04-04 13:09:42,0.0,0.0,0.5,1.0,0.25,0.5,3.26,6.92,3.66
A3,2023-04-04 13:16:08,0.0,0.0,1.0,1.0,0.0,1.0,2.98,6.55,3.57
A4,2023-04-04 13:25:05,0.5,0.0,0.0,1.0,1.25,0.0,3.11,6.31,3.2
A5,2023-04-04 13:33:15,0.5,0.0,0.5,1.0,0.625,0.5,3.06,6.43,3.37
A6,2023-04-04 13:39:51,0.5,0.0,1.0,1.0,0.0,1.0,3.14,6.68,3.54
B1,2023-04-04 13:48:01,1.0,0.0,0.0,1.0,2.0,0.0,3.09,6.07,2.9800000000000004
B2,2023-04-04 13:55:19,1.0,0.0,0.5,1.0,1.0,0.5,3.08,7.53,4.45
B3,2023-04-04 14:00:19,1.0,0.0,1.0,1.0,0.0,1.0,2.97,6.49,3.52
B4,2023-04-04 14:05:53,0.0,0.5,0.0,1.0,0.5,0.0,3.21,6.69,3.4800000000000004
B5,2023-04-04 14:13:40,0.0,0.5,0.5,1.0,0.25,0.75,3.25,6.82,3.5700000000000003
B6,2023-04-04 14:20:22,0.0,0.5,1.0,1.0,0.0,1.5,3.17,6.7,3.53
C1,2023-04-04 14:26:34,0.5,0.5,0.0,1.0,1.25,0.0,3.18,6.39,3.2099999999999995
C2,2023-04-04 14:32:58,0.5,0.5,0.5,1.0,0.625,0.75,3.09,6.45,3.3600000000000003
C3,2023-04-04 14:39:20,0.5,0.5,1.0,1.0,0.0,1.5,3.25,6.85,3.6
C4,2023-04-04 14:50:16,1.0,0.5,0.0,1.0,2.0,0.0,3.3,6.26,2.96
C5,2023-04-04 14:58:07,1.0,0.5,0.5,1.0,1.0,0.75,3.1,6.52,3.4199999999999995
C6,2023-04-04 15:04:07,1.0,0.5,1.0,1.0,0.0,1.5,3.16,6.44,3.28
D1,2023-04-04 15:10:01,0.0,1.0,0.0,1.0,0.5,0.0,3.25,6.69,3.4400000000000004
D2,2023-04-04 15:15:48,0.0,1.0,0.5,1.0,0.25,1.0,3.15,6.45,3.3000000000000003
D3,2023-04-04 15:22:42,0.0,1.0,1.0,1.0,0.0,2.0,3.0,6.18,3.18
D4,2023-04-04 15:28:27,0.5,1.0,0.0,1.0,1.25,0.0,3.19,7.07,3.88
D5,2023-04-04 15:38:17,0.5,1.0,0.5,1.0,0.625,1.0,3.22,6.49,3.27
D6,2023-04-04 15:45:08,0.5,1.0,1.0,1.0,0.0,2.0,3.15,6.37,3.22
E1,2023-04-04 15:52:24,1.0,1.0,0.0,1.0,2.0,0.0,3.2,5.98,2.78
E2,2023-04-04 16:02:12,1.0,1.0,0.5,1.0,1.0,1.0,3.19,6.64,3.45
E3,2023-04-04 16:12:29,1.0,1.0,1.0,1.0,0.0,2.0,2.96,6.29,3.33
