mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-04-04 13:03:56,3.15,6.87,3.72
A2,2023-04-04 13:09:42,3.26,6.92,3.66
A3,2023-04-04 13:16:08,2.98,6.55,3.57
A4,2023-04-04 13:25:05,3.11,6.31,3.2
A5,2023-04-04 13:33:15,3.06,6.43,3.37
A6,2023-04-04 13:39:51,3.14,6.68,3.54
B1,2023-04-04 13:48:01,3.09,6.07,2.9800000000000004
B2,2023-04-04 13:55:19,3.08,7.53,4.45
B3,2023-04-04 14:00:19,2.97,6.49,3.52
B4,2023-04-04 14:05:53,3.21,6.69,3.4800000000000004
B5,2023-04-04 14:13:40,3.25,6.82,3.5700000000000003
B6,2023-04-04 14:20:22,3.17,6.7,3.53
C1,2023-04-04 14:26:34,3.18,6.39,3.2099999999999995
C2,2023-04-04 14:32:58,3.09,6.45,3.3600000000000003
C3,2023-04-04 14:39:20,3.25,6.85,3.6
C4,2023-04-04 14:50:16,3.3,6.26,2.96
C5,2023-04-04 14:58:07,3.1,6.52,3.4199999999999995
C6,2023-04-04 15:04:07,3.16,6.44,3.28
D1,2023-04-04 15:10:01,3.25,6.69,3.4400000000000004
D2,2023-04-04 15:15:48,3.15,6.45,3.3000000000000003
D3,2023-04-04 15:22:42,3.0,6.18,3.18
D4,2023-04-04 15:28:27,3.19,7.07,3.88
D5,2023-04-04 15:38:17,3.22,6.49,3.27
D6,2023-04-04 15:45:08,3.15,6.37,3.22
E1,2023-04-04 15:52:24,3.2,5.98,2.78
E2,2023-04-04 16:02:12,3.19,6.64,3.45
E3,2023-04-04 16:12:29,2.96,6.29,3.33
A1,2023-04-05 09:17:45,3.15,6.55,3.4
A2,2023-04-05 09:17:55,3.26,6.64,3.38
A3,2023-04-05 09:18:06,2.98,6.39,3.41
A4,2023-04-05 09:18:18,3.11,6.12,3.01
A5,2023-04-05 09:18:28,3.06,6.18,3.12
A6,2023-04-05 09:18:38,3.14,6.53,3.39
B1,2023-04-05 09:18:48,3.09,5.92,2.83
B2,2023-04-05 09:18:58,3.08,7.29,4.21
B3,2023-04-05 09:19:08,2.97,6.36,3.39
B4,2023-04-05 09:19:18,3.21,6.41,3.2
B5,2023-04-05 09:19:27,3.25,6.56,3.31
B6,2023-04-05 09:19:38,3.17,6.53,3.36
C1,2023-04-05 09:19:48,3.18,6.18,3.0
C2,2023-04-05 09:19:58,3.09,6.22,3.13
C3,2023-04-05 09:20:10,3.25,6.69,3.44
C4,2023-04-05 09:20:20,3.3,6.13,2.83
C5,2023-04-05 09:20:31,3.1,6.3,3.2
C6,2023-04-05 09:20:45,3.16,6.31,3.15
D1,2023-04-05 09:20:56,3.25,6.37,3.12
D2,2023-04-05 09:21:07,3.15,6.27,3.12
D3,2023-04-05 09:21:19,3.0,6.04,3.04
D4,2023-04-05 09:21:31,3.19,6.89,3.7
D5,2023-04-05 09:21:40,3.22,6.29,3.07
D6,2023-04-05 09:21:49,3.15,6.23,3.08
E1,2023-04-05 09:21:59,3.2,5.85,2.65
E2,2023-04-05 09:22:08,3.19,6.48,3.29
E3,2023-04-05 09:22:17,2.96,6.14,3.18
A1,2023-04-11 10:29:39,3.15,6.31,3.16
A2,2023-04-11 10:29:48,3.26,6.43,3.17
A3,2023-04-11 10:29:58,2.98,6.1,3.12
A4,2023-04-11 10:30:06,3.11,5.92,2.81
A5,2023-04-11 10:30:14,3.06,5.98,2.92
A6,2023-04-11 10:30:22,3.14,6.22,3.08
B1,2023-04-11 10:30:33,3.09,5.74,2.65
B2,2023-04-11 10:30:42,3.08,6.99,3.91
B3,2023-04-11 10:30:53,2.97,6.04,3.07
B4,2023-04-11 10:31:07,3.21,6.17,2.96
B5,2023-04-11 10:31:15,3.25,6.32,3.07
B6,2023-04-11 10:31:25,3.17,6.27,3.1
C1,2023-04-11 10:31:35,3.18,5.95,2.77
C2,2023-04-11 10:31:46,3.09,6.0,2.91
C3,2023-04-11 10:31:56,3.25,6.45,3.2
C4,2023-04-11 10:32:05,3.3,5.97,2.67
C5,2023-04-11 10:32:15,3.1,6.1,3.0
C6,2023-04-11 10:32:27,3.16,6.08,2.92
D1,2023-04-11 10:32:38,3.25,6.12,2.87
D2,2023-04-11 10:32:49,3.15,6.0,2.85
D3,2023-04-11 10:32:58,3.0,5.84,2.84
D4,2023-04-11 10:33:07,3.19,6.64,3.45
D5,2023-04-11 10:33:16,3.22,6.08,2.86
D6,2023-04-11 10:33:25,3.15,6.01,2.86
E1,2023-04-11 10:33:34,3.2,5.68,2.48
E2,2023-04-11 10:33:44,3.19,6.27,3.08
E3,2023-04-11 10:33:54,2.96,5.95,2.99
