mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,lin_param_m,lin_param_c
A1,3,2023-04-11 10:29:39,15.068681467366918,0.0418174548713186,84.93131853263309,165.43,-0.0011,85.1202
A2,3,2023-04-11 10:29:48,13.400873113383216,0.0420131111219594,86.59912688661679,165.34,-0.0009,86.7634
A3,3,2023-04-11 10:29:58,13.003379706868612,0.0210957619512646,86.99662029313139,165.23,-0.0109,89.1879
A4,3,2023-04-11 10:30:06,12.2369160893087,0.0333887565704385,87.7630839106913,165.08,-0.0025,88.2237
A5,3,2023-04-11 10:30:14,13.368621397181062,0.0409789097373961,86.63137860281893,164.95,-0.0011,86.8216
A6,3,2023-04-11 10:30:22,13.58414917428806,0.0190296061068616,86.41585082571194,164.84,-0.0142,89.3339
B1,3,2023-04-11 10:30:33,11.143667148492185,0.0307961289397344,88.85633285150782,164.71,-0.0032,89.4434
B2,3,2023-04-11 10:30:42,12.222290841719316,0.0300130661021503,87.77770915828069,164.59,-0.0038,88.4896
B3,3,2023-04-11 10:30:53,13.73847483767818,0.0162111636547007,86.26152516232182,164.51,-0.0189,90.3092
B4,3,2023-04-11 10:31:07,14.962892652031911,0.0401383150598001,85.03710734796809,164.42,-0.0014,85.279
B5,3,2023-04-11 10:31:15,14.03143382023175,0.0383306378630981,85.96856617976825,164.29,-0.0016,86.2563
B6,3,2023-04-11 10:31:25,12.353737640401617,0.0260177118845606,87.64626235959838,164.18,-0.0062,88.8305
C1,3,2023-04-11 10:31:35,13.757710773160037,0.0341684189154253,86.24228922683996,164.08,-0.0027,86.725
C2,3,2023-04-11 10:31:46,13.419300249777873,0.0379891069057,86.58069975022212,163.98,-0.0016,86.8711
C3,3,2023-04-11 10:31:56,11.247762479790556,0.0269134810867487,88.75223752020945,163.88,-0.0051,89.7263
C4,3,2023-04-11 10:32:05,9.850387229088645,0.0319082238333619,90.14961277091136,163.7,-0.0025,90.6134
C5,3,2023-04-11 10:32:15,12.297570642713469,0.0402991428255913,87.70242935728653,163.57,-0.0011,87.903
C6,3,2023-04-11 10:32:27,11.200980678199477,0.0238940229317308,88.79901932180051,163.47,-0.0072,90.2016
D1,3,2023-04-11 10:32:38,16.57991482345769,0.0452862649319339,83.42008517654232,163.38,-0.0008,83.5627
D2,3,2023-04-11 10:32:49,13.782348700233571,0.0278511702893592,86.21765129976642,163.28,-0.0058,87.2971
D3,3,2023-04-11 10:32:58,10.783991862853922,0.0291853468646056,89.21600813714608,163.17,-0.0039,89.9359
D4,3,2023-04-11 10:33:07,11.165939377315244,0.0300236744562228,88.83406062268476,163.08,-0.0036,89.5083
D5,3,2023-04-11 10:33:16,12.565545642189749,0.0376335306029037,87.43445435781025,162.92,-0.0017,87.7289
D6,3,2023-04-11 10:33:25,11.30743343034425,0.027558148969798,88.69256656965575,162.8,-0.0049,89.62
E1,3,2023-04-11 10:33:34,10.848589755310051,0.0322389973209422,89.15141024468996,162.69,-0.0028,89.655
E2,3,2023-04-11 10:33:44,10.779829036706357,0.0324541308497271,89.22017096329364,162.53,-0.0027,89.7095
E3,3,2023-04-11 10:33:54,10.253242031503204,0.03371219738684287,89.7467579684968,162.36,-0.0022,90.1468
