mould_position,s1,s2,b1,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,StartPolymerMass_g,EndPolymerMass_pct,DeltaPolymerMass_pct
A1,0.0,0.0,0.0,1.0,0.5,0.0,3.72,85.31141982088945,-14.688580179110543
A2,0.0,0.0,0.5,1.0,0.25,0.5,3.66,86.97601964865792,-13.023980351342075
A3,0.0,0.0,1.0,1.0,0.0,1.0,3.57,88.00932239313468,-11.99067760686532
A4,0.5,0.0,0.0,1.0,1.25,0.0,3.2,88.31151312040147,-11.688486879598528
A5,0.5,0.0,0.5,1.0,0.625,0.5,3.37,87.02542919819328,-12.97457080180672
A6,0.5,0.0,1.0,1.0,0.0,1.0,3.54,87.56045035212351,-12.43954964787649
B1,1.0,0.0,0.0,1.0,2.0,0.0,2.9800000000000004,89.47266777728446,-10.527332222715543
B2,1.0,0.0,0.5,1.0,1.0,0.5,4.45,88.40394255362806,-11.596057446371944
B3,1.0,0.0,1.0,1.0,0.0,1.0,3.52,87.65866364460406,-12.34133635539594
B4,0.0,0.5,0.0,1.0,0.5,0.0,3.4800000000000004,85.457428283463,-14.542571716536996
B5,0.0,0.5,0.5,1.0,0.25,0.75,3.5700000000000003,86.41411104834278,-13.585888951657225
B6,0.0,0.5,1.0,1.0,0.0,1.5,3.53,88.40969032135874,-11.590309678641262
C1,0.5,0.5,0.0,1.0,1.25,0.0,3.2099999999999995,86.75988082644099,-13.240119173559007
C2,0.5,0.5,0.5,1.0,0.625,0.75,3.3600000000000003,87.03712217563542,-12.962877824364584
C3,0.5,0.5,1.0,1.0,0.0,1.5,3.6,89.49447029557798,-10.505529704422017
C4,1.0,0.5,0.0,1.0,2.0,0.0,2.96,90.72522494487006,-9.274775055129936
C5,1.0,0.5,0.5,1.0,1.0,0.75,3.4199999999999995,88.11898873533221,-11.88101126466779
C6,1.0,0.5,1.0,1.0,0.0,1.5,3.28,89.66780473575152,-10.332195264248483
D1,0.0,1.0,0.0,1.0,0.5,0.0,3.4400000000000004,83.75750519747768,-16.242494802522316
D2,0.0,1.0,0.5,1.0,0.25,1.0,3.3000000000000003,86.91764319152199,-13.08235680847801
D3,0.0,1.0,1.0,1.0,0.0,2.0,3.18,89.87060841045817,-10.129391589541823
D4,0.5,1.0,0.0,1.0,1.25,0.0,3.88,89.4594350467325,-10.540564953267506
D5,0.5,1.0,0.5,1.0,0.625,1.0,3.27,87.8924974106554,-12.107502589344604
D6,0.5,1.0,1.0,1.0,0.0,2.0,3.22,89.41123544535016,-10.588764554649842
E1,1.0,1.0,0.0,1.0,2.0,0.0,2.78,89.72852528187799,-10.271474718122008
E2,1.0,1.0,0.5,1.0,1.0,1.0,3.45,89.78251064193681,-10.21748935806319
E3,1.0,1.0,1.0,1.0,0.0,2.0,3.33,90.27453603157937,-9.725463968420627
