mould_position,datetime,s1,s2,b1,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-04-05 14:00:50,0.6047795553877949,0.0894287105649709,0.4846447694674134,1.0,0.7251920760487017,0.5279859262829418,3.22,6.55,3.33
A2,2023-04-05 14:07:55,0.1131967429816722,0.5568838344886899,0.9995128448307516,1.0,0.0003262941523526,1.5561253904807997,3.24,6.68,3.4399999999999995
A3,2023-04-05 14:16:50,0.401803044192493,0.3235971658304334,0.1499147011339664,1.0,0.9373929407945032,0.1984266735372344,3.43,7.07,3.64
A4,2023-04-05 14:25:57,0.8554190196841955,0.7952092316001654,0.6655753189697862,1.0,0.5963221897227049,1.1948469569397848,3.24,6.88,3.64
A5,2023-04-05 14:33:00,0.960525055900216,0.4466021604835987,0.8850209814310074,1.0,0.2231498516419967,1.2802732638114105,3.31,6.76,3.45
A6,2023-04-05 14:42:04,0.3046077194437385,0.9071358896419406,0.3037077464535833,1.0,0.6662901199018814,0.5792119432239035,3.18,6.45,3.27
B1,2023-04-05 14:48:38,0.0835010078549385,0.2124295873567462,0.5426459797099232,1.0,0.2859612926061325,0.6579200412604994,3.08,6.42,3.34
B2,2023-04-05 14:55:23,0.7471648412197829,0.2548955308273435,0.6095849085226656,1.0,0.6327641904888717,0.764965377364888,3.11,6.31,3.2
B3,2023-04-05 15:04:27,0.2762946875393391,0.0165042378753423,0.8064145721495152,1.0,0.1770226518754208,0.8197238300744132,3.25,6.27,3.02
B4,2023-04-05 15:11:50,0.999907703883946,0.6295105497911573,0.2409859985485673,1.0,1.5179229218363184,0.3926892269868469,3.32,7.2,3.88
B5,2023-04-05 15:18:58,0.8350145689025521,0.1292260314151644,0.2253585928678513,1.0,1.3575759945118506,0.2544807894694695,3.34,6.22,2.88
B6,2023-04-05 15:26:10,0.4490983891487122,0.7522477526962758,0.7230220844224096,1.0,0.325074461362291,1.266913822578944,3.28,6.6,3.32
C1,2023-04-05 15:31:37,0.2258843081817031,0.367613202482462,0.4314152332022786,1.0,0.476943948434998,0.5900091686794864,3.25,6.43,3.18
C2,2023-04-05 15:38:13,0.5147714085131884,0.9863543696328998,0.928289223909378,1.0,0.0912273738659259,1.8439113561955265,3.27,6.71,3.44
C3,2023-04-05 15:45:35,0.5458822848275304,0.4035581724718213,0.091338667012751,1.0,1.198363853371888,0.1281991325484291,3.27,6.97,3.7
C4,2023-04-05 15:52:29,0.4770499021932483,0.1018835373967886,0.2910671924054623,1.0,0.8617608935841076,0.3207221475878825,3.01,6.17,3.16
C5,2023-04-05 15:59:37,0.7954651626199484,0.7129079972580076,0.7879740354791284,1.0,0.3590018847813057,1.3497270270038642,3.05,6.32,3.2700000000000005
C6,2023-04-05 16:06:16,0.2451832338795066,0.5972899450361728,0.1710256980732083,1.0,0.7193630511875219,0.273177627875128,3.18,6.22,3.04
D1,2023-04-05 16:13:20,0.0251290532946586,0.2821393389999866,0.9446533827856184,1.0,0.0297595207476797,1.211177263788854,3.11,6.43,3.32
D2,2023-04-05 16:23:09,0.7192139095440507,0.9031174040958284,0.3791917315125466,1.0,0.9801450470279278,0.7216463837307601,3.16,6.27,3.1099999999999994
D3,2023-04-05 16:29:13,0.0450066773220896,0.6423620431497693,0.4356512241065502,1.0,0.3202735828273541,0.715497034524332,3.42,6.74,3.3200000000000003
D4,2023-04-05 16:38:35,0.3346635200083256,0.4785588680580259,0.6850376163423062,1.0,0.3155908218064917,1.0128684425962484,3.33,6.55,3.22
D5,2023-04-05 16:53:28,0.9230817436054348,0.94397071801126,0.1030305609479546,1.0,1.690448890167449,0.2002883935430983,3.33,6.1,2.77
D6,2023-04-05 17:04:10,0.8939129016175866,0.3632003678381443,0.354909505546093,1.0,1.187527320781777,0.4838127685096879,3.25,6.4,3.1500000000000004
E1,2023-04-05 17:11:06,0.3727978092432022,0.8217608709260822,0.8696785651519895,1.0,0.1380360355371588,1.584346380277034,3.33,6.61,3.28
E2,2023-04-05 17:16:42,0.1506405078992247,0.0573070169612765,0.0138513343408703,1.0,0.7159052366181159,0.0146451129928789,3.33,6.58,3.25
E3,2023-04-05 17:26:22,0.5747221434861421,0.5201480741798877,0.5294129565358162,1.0,0.640978713206905,0.8047860863238017,3.26,6.45,3.1900000000000004
