mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-04-05 14:00:50,3.22,6.55,3.33
A2,2023-04-05 14:07:55,3.24,6.68,3.4399999999999995
A3,2023-04-05 14:16:50,3.43,7.07,3.64
A4,2023-04-05 14:25:57,3.24,6.88,3.64
A5,2023-04-05 14:33:00,3.31,6.76,3.45
A6,2023-04-05 14:42:04,3.18,6.45,3.27
B1,2023-04-05 14:48:38,3.08,6.42,3.34
B2,2023-04-05 14:55:23,3.11,6.31,3.2
B3,2023-04-05 15:04:27,3.25,6.27,3.02
B4,2023-04-05 15:11:50,3.32,7.2,3.88
B5,2023-04-05 15:18:58,3.34,6.22,2.88
B6,2023-04-05 15:26:10,3.28,6.6,3.32
C1,2023-04-05 15:31:37,3.25,6.43,3.18
C2,2023-04-05 15:38:13,3.27,6.71,3.44
C3,2023-04-05 15:45:35,3.27,6.97,3.7
C4,2023-04-05 15:52:29,3.01,6.17,3.16
C5,2023-04-05 15:59:37,3.05,6.32,3.2700000000000005
C6,2023-04-05 16:06:16,3.18,6.22,3.04
D1,2023-04-05 16:13:20,3.11,6.43,3.32
D2,2023-04-05 16:23:09,3.16,6.27,3.1099999999999994
D3,2023-04-05 16:29:13,3.42,6.74,3.3200000000000003
D4,2023-04-05 16:38:35,3.33,6.55,3.22
D5,2023-04-05 16:53:28,3.33,6.1,2.77
D6,2023-04-05 17:04:10,3.25,6.4,3.1500000000000004
E1,2023-04-05 17:11:06,3.33,6.61,3.28
E2,2023-04-05 17:16:42,3.33,6.58,3.25
E3,2023-04-05 17:26:22,3.26,6.45,3.1900000000000004
A1,2023-04-06 14:00:50,3.22,6.32,3.07
A2,2023-04-06 14:07:55,3.24,6.44,3.20
A3,2023-04-06 14:16:50,3.43,6.82,3.39
A4,2023-04-06 14:25:57,3.24,6.63,3.39
A5,2023-04-06 14:33:00,3.31,6.52,3.21
A6,2023-04-06 14:42:04,3.18,6.22,3.04
B1,2023-04-06 14:48:38,3.08,6.19,3.11
B2,2023-04-06 14:55:23,3.11,6.09,2.98
B3,2023-04-06 15:04:27,3.25,6.06,2.81
B4,2023-04-06 15:11:50,3.32,6.93,3.61
B5,2023-04-06 15:18:58,3.34,6.02,2.68
B6,2023-04-06 15:26:10,3.28,6.37,3.09
C1,2023-04-06 15:31:37,3.25,6.21,2.96
C2,2023-04-06 15:38:13,3.27,6.47,3.20
C3,2023-04-06 15:45:35,3.27,6.71,3.44
C4,2023-04-06 15:52:29,3.01,5.94,2.94
C5,2023-04-06 15:59:37,3.05,6.09,3.04
C6,2023-04-06 16:06:16,3.18,6.01,2.83
D1,2023-04-06 16:13:20,3.11,6.20,3.09
D2,2023-04-06 16:23:09,3.16,6.05,2.89
D3,2023-04-06 16:29:13,3.42,6.51,3.09
D4,2023-04-06 16:38:35,3.33,6.32,2.99
D5,2023-04-06 16:53:28,3.33,5.91,2.58
D6,2023-04-06 17:04:10,3.25,6.18,2.93
E1,2023-04-06 17:11:06,3.33,6.38,3.05
E2,2023-04-06 17:16:42,3.33,6.35,3.02
E3,2023-04-06 17:26:22,3.26,6.23,2.97
A1,2023-04-11 10:34:26,3.22,6.13,2.91
A2,2023-04-11 10:34:36,3.24,6.29,3.05
A3,2023-04-11 10:34:44,3.43,6.58,3.15
A4,2023-04-11 10:34:53,3.24,6.46,3.22
A5,2023-04-11 10:35:02,3.31,6.36,3.05
A6,2023-04-11 10:35:12,3.18,6.02,2.84
B1,2023-04-11 10:35:22,3.08,5.93,2.85
B2,2023-04-11 10:35:31,3.11,5.91,2.8
B3,2023-04-11 10:35:41,3.25,5.82,2.57
B4,2023-04-11 10:35:51,3.32,6.8,3.48
B5,2023-04-11 10:35:59,3.34,5.87,2.53
B6,2023-04-11 10:36:08,3.28,6.19,2.91
C1,2023-04-11 10:36:19,3.25,5.96,2.71
C2,2023-04-11 10:36:29,3.27,6.37,3.1
C3,2023-04-11 10:36:38,3.27,6.55,3.28
C4,2023-04-11 10:36:48,3.01,5.75,2.74
C5,2023-04-11 10:36:57,3.05,5.95,2.9
C6,2023-04-11 10:37:06,3.18,5.77,2.59
D1,2023-04-11 10:37:14,3.11,6.0,2.89
D2,2023-04-11 10:37:23,3.16,5.85,2.69
D3,2023-04-11 10:37:34,3.42,6.25,2.83
D4,2023-04-11 10:37:42,3.33,6.1,2.77
D5,2023-04-11 10:37:53,3.33,5.78,2.45
D6,2023-04-11 10:38:04,3.25,6.02,2.77
E1,2023-04-11 10:38:13,3.33,6.24,2.91
E2,2023-04-11 10:38:22,3.33,6.1,2.77
E3,2023-04-11 10:38:31,3.26,6.05,2.79
