mould_position,s1,s2,b1,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,StartPolymerMass_g,EndPolymerMass_pct,DeltaPolymerMass_pct
A1,0.6047795553877949,0.0894287105649709,0.4846447694674134,1.0,0.7251920760487017,0.5279859262829418,3.33,87.74846532515235,-12.251534674847647
A2,0.1131967429816722,0.5568838344886899,0.9995128448307516,1.0,0.0003262941523526,1.5561253904807997,3.4399999999999995,89.04569524186033,-10.95430475813967
A3,0.401803044192493,0.3235971658304334,0.1499147011339664,1.0,0.9373929407945032,0.1984266735372344,3.64,86.97511166878513,-13.024888331214868
A4,0.8554190196841955,0.7952092316001654,0.6655753189697862,1.0,0.5963221897227049,1.1948469569397848,3.64,88.86653786778011,-11.13346213221989
A5,0.960525055900216,0.4466021604835987,0.8850209814310074,1.0,0.2231498516419967,1.2802732638114105,3.45,88.79658133348951,-11.203418666510489
A6,0.3046077194437385,0.9071358896419406,0.3037077464535833,1.0,0.6662901199018814,0.5792119432239035,3.27,87.28388020718542,-12.71611979281458
B1,0.0835010078549385,0.2124295873567462,0.5426459797099232,1.0,0.2859612926061325,0.6579200412604994,3.34,85.69059021849279,-14.309409781507211
B2,0.7471648412197829,0.2548955308273435,0.6095849085226656,1.0,0.6327641904888717,0.764965377364888,3.2,87.93237094060841,-12.067629059391592
B3,0.2762946875393391,0.0165042378753423,0.8064145721495152,1.0,0.1770226518754208,0.8197238300744132,3.02,85.45091954111142,-14.549080458888582
B4,0.999907703883946,0.6295105497911573,0.2409859985485673,1.0,1.5179229218363184,0.3926892269868469,3.88,90.00117990804235,-9.998820091957654
B5,0.8350145689025521,0.1292260314151644,0.2253585928678513,1.0,1.3575759945118506,0.2544807894694695,2.88,88.26466750790036,-11.735332492099644
B6,0.4490983891487122,0.7522477526962758,0.7230220844224096,1.0,0.325074461362291,1.266913822578944,3.32,88.07449904032107,-11.925500959678928
C1,0.2258843081817031,0.367613202482462,0.4314152332022786,1.0,0.476943948434998,0.5900091686794864,3.18,85.56043216314698,-14.439567836853016
C2,0.5147714085131884,0.9863543696328998,0.928289223909378,1.0,0.0912273738659259,1.8439113561955265,3.44,90.38826342420104,-9.611736575798956
C3,0.5458822848275304,0.4035581724718213,0.091338667012751,1.0,1.198363853371888,0.1281991325484291,3.7,89.01796453209897,-10.982035467901028
C4,0.4770499021932483,0.1018835373967886,0.2910671924054623,1.0,0.8617608935841076,0.3207221475878825,3.16,87.12342559872182,-12.876574401278177
C5,0.7954651626199484,0.7129079972580076,0.7879740354791284,1.0,0.3590018847813057,1.3497270270038642,3.2700000000000005,89.06124824559774,-10.93875175440226
C6,0.2451832338795066,0.5972899450361728,0.1710256980732083,1.0,0.7193630511875219,0.273177627875128,3.04,85.53614294992424,-14.46385705007576
D1,0.0251290532946586,0.2821393389999866,0.9446533827856184,1.0,0.0297595207476797,1.211177263788854,3.32,87.46889772756103,-12.531102272438972
D2,0.7192139095440507,0.9031174040958284,0.3791917315125466,1.0,0.9801450470279278,0.7216463837307601,3.1099999999999994,86.91375794394693,-13.086242056053068
D3,0.0450066773220896,0.6423620431497693,0.4356512241065502,1.0,0.3202735828273541,0.715497034524332,3.3200000000000003,85.58780923783159,-14.412190762168407
D4,0.3346635200083256,0.4785588680580259,0.6850376163423062,1.0,0.3155908218064917,1.0128684425962484,3.22,86.4216022693273,-13.578397730672704
D5,0.9230817436054348,0.94397071801126,0.1030305609479546,1.0,1.690448890167449,0.2002883935430983,2.77,88.83616695292497,-11.16383304707503
D6,0.8939129016175866,0.3632003678381443,0.354909505546093,1.0,1.187527320781777,0.4838127685096879,3.1500000000000004,88.33866492154719,-11.661335078452808
E1,0.3727978092432022,0.8217608709260822,0.8696785651519895,1.0,0.1380360355371588,1.584346380277034,3.28,89.09296664012874,-10.907033359871264
E2,0.1506405078992247,0.0573070169612765,0.0138513343408703,1.0,0.7159052366181159,0.0146451129928789,3.25,85.5834844326054,-14.416515567394596
E3,0.5747221434861421,0.5201480741798877,0.5294129565358162,1.0,0.640978713206905,0.8047860863238017,3.1900000000000004,87.88556822959518,-12.11443177040482
