mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-03-15 14:10:42,3.21,6.13,2.92
A2,2023-03-15 14:17:11,3.34,6.72,3.38
A3,2023-03-15 14:24:23,3.21,6.61,3.4000000000000004
A4,2023-03-15 14:31:31,3.24,6.1,2.859999999999999
A5,2023-03-15 14:40:45,3.26,6.65,3.390000000000001
A6,2023-03-15 14:48:12,3.17,6.36,3.1900000000000004
B1,2023-03-15 14:55:09,3.21,6.4,3.1900000000000004
B2,2023-03-15 15:03:39,3.36,6.46,3.1
A1,2023-03-16 13:22:48,3.21,5.87,2.66
A2,2023-03-16 13:23:00,3.34,6.48,3.14
A3,2023-03-16 13:23:11,3.21,6.3,3.09
A4,2023-03-16 13:23:20,3.24,5.9,2.66
A5,2023-03-16 13:23:29,3.26,6.35,3.09
A6,2023-03-16 13:23:41,3.17,6.07,2.9
B1,2023-03-16 13:23:51,3.21,6.21,3.0
B2,2023-03-16 13:24:03,3.36,6.17,2.81
A1,2023-03-17 09:28:03,3.21,5.82,2.61
A2,2023-03-17 09:28:17,3.34,6.38,3.04
A3,2023-03-17 09:28:26,3.21,6.24,3.03
A4,2023-03-17 09:28:35,3.24,5.85,2.61
A5,2023-03-17 09:28:43,3.26,6.29,3.03
A6,2023-03-17 09:28:53,3.17,6.01,2.84
B1,2023-03-17 09:29:02,3.21,6.14,2.93
B2,2023-03-17 09:29:12,3.36,6.11,2.75
A1,2023-03-17 16:34:46,3.21,5.79,2.58
A2,2023-03-17 16:35:00,3.34,6.36,3.02
A3,2023-03-17 16:35:08,3.21,6.22,3.01
A4,2023-03-17 16:35:18,3.24,5.83,2.59
A5,2023-03-17 16:35:27,3.26,6.28,3.02
A6,2023-03-17 16:35:36,3.17,6.0,2.83
B1,2023-03-17 16:35:45,3.21,6.12,2.91
B2,2023-03-17 16:35:54,3.36,6.1,2.74
A1,2023-03-20 11:14:20,3.21,5.72,2.51
A2,2023-03-20 11:14:30,3.34,6.24,2.9
A3,2023-03-20 11:14:39,3.21,6.14,2.93
A4,2023-03-20 11:14:48,3.24,5.76,2.52
A5,2023-03-20 11:14:56,3.26,6.19,2.93
A6,2023-03-20 11:15:03,3.17,5.92,2.75
B1,2023-03-20 11:15:15,3.21,6.04,2.83
B2,2023-03-20 11:15:24,3.36,6.01,2.65
B3,2023-03-20 14:44:00,3.44,6.91,3.47
B3,2023-03-21 09:50:51,3.44,6.63,3.19
B3,2023-03-22 09:36:22,3.44,6.52,3.08
B3,2023-03-23 09:46:51,3.44,6.48,3.04
B3,2023-03-24 09:54:59,3.44,6.46,3.02
B4,2023-03-24 10:38:08,3.13,5.99,2.8600000000000003
B4,2023-03-24 16:52:35,3.13,5.89,2.76
B4,2023-03-27 08:31:12,3.13,5.7,2.57
B4,2023-03-30 10:30:11,3.13,5.63,2.5
B5,2023-03-30 11:54:06,3.16,6.7,3.54
B5,2023-03-31 14:08:12,3.16,6.45,3.29
B5,2023-04-04 10:10:35,3.16,6.24,3.08
B5,2023-04-04 16:14:40,3.16,6.25,3.09
B6,2023-04-05 10:12:16,3.18,6.33,3.15
B6,2023-04-06 10:12:16,3.18,6.11,2.93
B6,2023-04-11 10:39:07,3.18,5.93,2.75
