mould_position,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,StartPolymerMass_g,EndPolymerMass_pct,DeltaPolymerMass_pct
A1,1.0,0.758152094,0.61906152,0.795261793,0.121171721,0.447844154,3.09,85.50784804,-14.49215196
A2,1.0,0.893715323,0.084553583,0.295261793,0.621171721,0.947844154,3.12,85.57185332,-14.42814668
A3,1.0,0.260737364,1.099893412,0.545261793,0.371171721,0.197844154,3.33,86.62481005,-13.37518995
A4,1.0,0.396300593,0.565385475,0.045261793,0.871171721,0.697844154,3.17,86.7551765,-13.2448235
A5,1.0,0.055025941,1.387184358,0.170261793,0.496171721,0.072844154,3.27,87.03580025,-12.96419975
A6,1.0,0.862355401,0.85267642,0.670261793,0.996171721,0.572844154,3.06,88.50079562,-11.49920438
B1,1.0,0.930137016,0.220766606,0.420261793,0.246171721,0.822844154,3.2,87.7905645,-12.2094355
B2,1.0,0.607073787,1.182430389,0.920261793,0.746171721,0.322844154,3.14,89.29035902,-10.70964098
B3,1.0,1.501027853,0.343587809,0.982761793,0.433671721,0.760344154,2.63,87.69678044,-12.30321956
B4,1.0,0.318698393,1.430251593,0.482761793,0.933671721,0.260344154,3.27,88.52606466,-11.47393534
B5,1.0,0.016541778,1.171427638,0.732761793,0.183671721,0.010344154,3.36,86.82384062,-13.17615938
B6,1.0,0.433355007,0.824419701,0.232761793,0.683671721,0.510344154,3.31,86.05181035,-13.94818965
C1,1.0,0.254960142,0.804382724,0.107761793,0.308671721,0.385344154,3.34,86.03852022,-13.96147978
C2,1.0,1.249789602,0.207374787,0.607761793,0.808671721,0.885344154,2.96,87.39613519,-12.60386481
C3,1.0,0.658624872,0.568378755,0.357761793,0.558671721,0.635344154,2.8,84.62297418,-15.37702582
C4,1.0,0.241811643,0.915386693,0.857761793,0.058671721,0.135344154,3.14,85.31881517,-14.68118483
C5,1.0,0.708507842,0.648629662,0.670074564,0.225527594,0.529265653,3.28,85.52231235,-14.47768765
C6,1.0,1.040024412,0.0,0.360016275,0.957833128,0.0,2.99,87.21251393,-12.78748607
D1,1.0,0.730506797,0.782546523,0.776319359,0.394615627,0.561119858,3.25,86.95055859,-13.0494414
D2,1.0,0.7299602792619442,0.5595049986347407,0.7378052886857359,0.0253362139191401,0.5456795449525245,3.46,87.66114277648227,-12.338857223517737
D3,1.0,0.6110486333599072,0.6292515118803587,0.4547684814944364,0.3025145542217763,0.4831051674937502,3.2900000000000005,86.91836321393431,-13.081636786065689
D4,1.0,0.9015568448822452,0.0,0.2677045632548301,0.6738361601579773,0.0,2.94,85.14788511645594,-14.85211488354406
D5,1.0,0.8480570372490301,0.0,0.2320380248326868,0.5089947027992544,0.0,3.06,88.05526021518546,-11.944739784814544
