mould_position,datetime,G_stoichiometry,CA_stoichiometry,IA_stoichiometry,s1,s2,b1,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
A1,2023-03-15 15:14:58,1.0,0.7581520939326862,0.6190615201859968,0.7952617927155294,0.1211717208578365,0.4478441538711506,3.36,6.45,3.0900000000000003
A2,2023-03-15 15:23:34,1.0,0.8937153230659705,0.0845535828215032,0.2952617927155294,0.6211717208578366,0.9478441538711506,3.27,6.39,3.12
A3,2023-03-15 15:29:17,1.0,0.2607373639626812,1.0998934119326682,0.5452617927155294,0.3711717208578365,0.1978441538711506,3.32,6.65,3.3300000000000005
A4,2023-03-15 15:34:46,1.0,0.3963005930959654,0.5653854745681748,0.0452617927155294,0.8711717208578366,0.6978441538711506,3.19,6.36,3.1700000000000004
A5,2023-03-15 15:40:26,1.0,0.0550259412759972,1.387184357806004,0.1702617927155294,0.4961717208578365,0.0728441538711506,3.11,6.38,3.27
A6,2023-03-15 15:48:48,1.0,0.8623554012160073,0.8526764204415105,0.6702617927155294,0.9961717208578366,0.5728441538711506,3.27,6.33,3.06
B1,2023-03-15 15:56:51,1.0,0.9301370157826492,0.2207666056304143,0.4202617927155294,0.2461717208578365,0.8228441538711506,3.14,6.34,3.2
B2,2023-03-15 16:05:28,1.0,0.6070737866493652,1.1824303891237573,0.9202617927155294,0.7461717208578366,0.3228441538711506,3.38,6.52,3.14
B3,2023-03-15 16:13:29,1.0,1.5010278525443517,0.3435878093331883,0.9827617927155294,0.4336717208578365,0.7603441538711506,3.21,5.84,2.63
B4,2023-03-15 16:22:58,1.0,0.3186983926043417,1.4302515928265314,0.4827617927155294,0.9336717208578366,0.2603441538711506,3.49,6.76,3.27
B5,2023-03-15 16:29:45,1.0,0.0165417780376997,1.1714276384443534,0.7327617927155294,0.1836717208578365,0.0103441538711506,3.3,6.66,3.3600000000000003
B6,2023-03-15 16:35:52,1.0,0.4333550071709838,0.8244197010798598,0.2327617927155294,0.6836717208578366,0.5103441538711506,3.13,6.44,3.3100000000000005
C1,2023-03-15 16:41:29,1.0,0.2549601421859813,0.8043827238887709,0.1077617927155294,0.3086717208578365,0.3853441538711506,3.24,6.58,3.34
C2,2023-03-15 16:50:24,1.0,1.249789602125991,0.2073747865242773,0.6077617927155294,0.8086717208578366,0.8853441538711506,3.29,6.25,2.96
C3,2023-03-15 16:57:21,1.0,0.6586248721559863,0.568378755206524,0.3577617927155294,0.5586717208578366,0.6353441538711506,3.43,6.23,2.8000000000000003
C4,2023-03-15 17:03:52,1.0,0.2418116430227022,0.9153866925710176,0.8577617927155294,0.0586717208578364,0.1353441538711506,3.33,6.47,3.14
C5,2023-04-21 14:16:09,0.2259399609040144,0.5287215283853952,0.6693695530174645,1.0,0.277369168888634,1.0232796461435072,3.09,6.31,3.22
C6,2023-04-21 14:24:15,1.0,0.0,0.351699287588043,1.0,1.2966014248239142,0.351699287588043,3.16,6.11,2.95
D1,2023-04-25 15:16:26,0.7150014228633265,0.0,0.2833225678461354,1.0,1.126976791663005,0.2833225678461354,3.14,6.13,2.99
D2,2023-04-25 15:23:48,0.4296953627974008,0.5863893796464913,0.7998514727833336,1.0,0.2290786046319296,1.268875881718085,3.13,6.45,3.3200000000000003
D3,2023-05-03 14:32:53,0.0,0.5603876141990722,0.9308119397235844,1.0,0.0345940301382077,1.4524274218932949,3.41,6.97,3.56
D4,2023-05-03 14:39:40,0.0,0.5945204759689595,0.4348531933789177,1.0,0.2825734033105411,0.693382320883174,3.25,6.79,3.54
D5,2023-05-10 15:40:31,0.330741416604103,0.4420987933298187,0.4240555802955408,1.0,0.573705219739651,0.6115300406489755,3.29,6.76,3.47
D6,2023-05-10 15:47:11,0.0,0.1351714173622359,0.1261602941863187,1.0,0.4369198529068406,0.14321355996632,3.18,6.94,3.76
E1,2023-05-17 14:23:09,0.0,0.0,0.0,1.0,0.5,0.0,3.19,6.18,2.99
E2,2023-05-17 14:30:02,0.0,0.0299711644030824,0.3805981007541835,1.0,0.3097009496229083,0.392005069003388,3.05,6.29,3.24
E3,2023-05-25 11:57:40,0.1304925537212015,0.0,0.0,1.0,0.6957388305818022,0.0,3.29,6.55,3.26
E4,2023-05-25 12:03:24,0.0,0.13763331580175844,0.0,1.0,0.5,0.0,3.13,6.4,3.2700000000000005
