mould_position,datetime,MouldMass_g,MouldPolymerMass_g,PolymerMass_g
C5,2023-04-21 14:16:09,3.09,6.31,3.22
C6,2023-04-21 14:24:15,3.16,6.11,2.95
C5,2023-04-21 16:52:00,3.09,6.25,3.16
C6,2023-04-21 16:52:07,3.16,6.03,2.87
C5,2023-04-24 08:59:24,3.09,5.9,2.81
C6,2023-04-24 08:59:34,3.16,5.74,2.58
C5,2023-04-24 15:16:23,3.09,5.89,2.8
C6,2023-04-24 15:16:34,3.16,5.73,2.57
C6,2023-04-25 09:19:06,3.16,5.71,2.55
C5,2023-04-25 12:33:50,3.09,5.87,2.78
D1,2023-04-25 15:16:26,3.14,6.13,2.99
D2,2023-04-25 15:23:48,3.13,6.45,3.3200000000000003
D1,2023-04-26 09:35:32,3.14,5.93,2.79
D2,2023-04-26 09:35:44,3.13,6.27,3.14
D1,2023-04-27 09:54:29,3.14,5.87,2.73
D2,2023-04-27 09:54:38,3.13,6.19,3.06
D1,2023-04-28 09:21:50,3.14,5.82,2.68
D2,2023-04-28 09:21:58,3.13,6.14,3.01
D1,2023-05-02 16:51:17,3.14,5.75,2.61
D2,2023-05-02 16:51:25,3.13,6.02,2.89
D1,2023-05-03 09:25:47,3.14,5.74,2.6
D2,2023-05-03 09:25:56,3.13,6.01,2.88
D3,2023-05-03 14:32:53,3.41,6.97,3.56
D4,2023-05-03 14:39:40,3.25,6.79,3.54
D3,2023-05-04 13:24:47,3.41,6.81,3.4
D4,2023-05-04 13:24:55,3.25,6.5,3.25
D3,2023-05-05 08:26:36,3.41,6.68,3.27
D4,2023-05-05 08:26:45,3.25,6.42,3.17
D3,2023-05-09 16:49:24,3.41,6.53,3.12
D4,2023-05-09 16:49:32,3.25,6.27,3.02
D3,2023-05-10 09:22:10,3.41,6.55,3.14
D4,2023-05-10 09:22:24,3.25,6.3,3.05
D5,2023-05-10 15:40:31,3.29,6.76,3.47
D6,2023-05-10 15:47:11,3.18,6.94,3.76
D5,2023-05-11 11:58:36,3.29,6.48,3.19
D6,2023-05-11 11:58:49,3.18,6.57,3.39
D5,2023-05-12 09:14:56,3.29,6.42,3.13
D6,2023-05-12 09:15:20,3.18,6.5,3.32
D5,2023-05-16 16:37:00,3.29,6.3,3.01
D6,2023-05-16 16:37:09,3.18,6.35,3.17
D5,2023-05-17 09:29:55,3.29,6.29,3.0
D6,2023-05-17 09:30:07,3.18,6.34,3.16
E1,2023-05-17 14:23:09,3.19,6.18,2.99
E2,2023-05-17 14:30:02,3.05,6.29,3.24
E1,2023-05-18 09:37:09,3.19,5.89,2.7
E2,2023-05-18 09:37:18,3.05,6.04,2.99
E1,2023-05-19 09:38:22,3.19,5.8,2.61
E2,2023-05-19 09:38:29,3.05,5.95,2.9
E1,2023-05-24 09:00:47,3.19,5.66,2.47
E2,2023-05-24 09:01:00,3.05,5.81,2.76
E1,2023-05-24 13:37:11,3.19,5.66,2.47
E2,2023-05-24 13:37:23,3.05,5.81,2.76
E3,2023-05-25 11:57:40,3.29,6.55,3.26
E4,2023-05-25 12:03:24,3.13,6.4,3.2700000000000005
E3,2023-05-26 08:57:01,3.29,6.25,2.96
E4,2023-05-26 08:57:24,3.13,6.08,2.95
E3,2023-05-30 09:26:05,3.29,6.08,2.79
E4,2023-05-30 09:26:17,3.13,5.89,2.76
E3,2023-05-31 09:28:43,3.29,6.07,2.78
E4,2023-05-31 09:28:55,3.13,5.88,2.75
