Complexity,Loss,Equation
1,2.4223447,"-12.936968"
3,2.1173818,"x0 + -13.356943"
4,2.0396523,"exp(x0) + -14.5394745"
5,1.873948,"(x0 + -13.790872) + x1"
6,1.7466633,"sinh(x1 + x0) + -14.008775"
7,1.7228678,"(exp(x1) + exp(x0)) + -16.158085"
8,1.7109004,"exp(cosh(x1)) + (exp(x0) + -17.736523)"
9,1.7091645,"((x0 + (x1 * x1)) * 1.8184863) + -14.2125845"
10,1.708401,"(cosh(x1 * 1.7199347) + (x0 * 1.7980192)) + -15.175762"
11,1.6889666,"(exp(x0) + exp(cosh(x1))) + (cosh(x2) + -18.901545)"
12,1.6475359,"((x1 + x0) * cosh(cosh(exp(x2) + -1.8038325))) + -14.423147"
13,1.57792,"(cosh(cosh(exp(cosh(x2)) + -3.5505617)) * (x1 + x0)) + -14.527022"
14,1.569104,"(cosh(cosh(sinh(sinh(sinh(x2)))) + -2.143953) * (x1 + x0)) + -14.258719"
15,1.491243,"-15.048781 + (cosh(cosh(2.016839 * x2) + -2.5409405) * ((x1 + x0) + x2))"
17,1.4842161,"(cosh(sinh(sinh(sinh(x2 * 1.1127092))) + -1.6391673) * ((x0 + x1) + x2)) + -15.042099"
18,1.4766287,"((x1 + (x0 + x2)) * cosh(sinh(sinh(x2 * (x2 * 1.5832313)) + -1.2292254))) + -15.010429"
19,1.4734405,"(cosh(sinh(sinh(sinh(x2 * x2) * 1.3530569) + -1.2196774)) * (x2 + (x1 + x0))) + -15.040392"
20,1.4708395,"(cosh(sinh(sinh(sinh(x2 * x2) * 1.3349808) + -1.1893482)) * ((x0 + x2) + sinh(x1))) + -15.0397835"
21,1.4642813,"(x0 * 1.8190713) + (sinh((cosh(((x2 * 2.49403) * x2) + -1.4434334) + -0.51583946) * (x1 + x2)) + -14.708083)"
22,1.4519532,"((x0 + -15.014476) + x0) + ((x2 + x1) * (cosh(sinh(sinh((x2 * x2) * 1.7777828) + -1.4954497)) * 0.6655478))"
23,1.447777,"((x0 + -14.963503) + x0) + (sinh((x1 + x2) * 0.5687287) * cosh(sinh(sinh((x2 * x2) * 1.7895699) + -1.5347944)))"
25,1.4371469,"(x0 + -14.335388) + (((((x2 + -0.2980248) + x1) * 0.19170886) * cosh(cosh((((x2 * 4.889992) + -1.2465863) * x2) + -1.8468586))) + x0)"
26,1.4280684,"((x0 + x0) + -14.342131) + (((x2 + -0.30150223) + x1) * sinh(cosh(cosh((((x2 * 4.3976216) + -1.1076775) * x2) + -1.6581575)) * 0.21356359))"
30,1.4266291,"((x2 + (x1 + -0.30314147)) * sinh(cosh(cosh((x2 * ((x2 * 4.375278) + -1.1133345)) + -1.644571)) * 0.2210681)) + ((x0 + (x0 + -14.290797)) + (x0 * -0.13808864))"
34,1.399863,"(cosh((x1 + (cosh((x0 + 1.6263484) + (x1 * -2.7614696)) + -2.2134237)) * x1) * ((cosh(((x2 * x2) * 3.224286) + -1.840439) * (x2 + x1)) + -14.935597)) + (x0 * 1.7243121)"
