Complexity,Loss,Equation
1,2.4223447,"-12.936967"
3,2.1173818,"x0 + -13.356943"
4,2.039652,"exp(x0) + -14.53938"
5,1.8739481,"(x0 + -13.790898) + x1"
6,1.7466633,"sinh(x0 + x1) + -14.008785"
7,1.7228676,"(exp(x0) + exp(x1)) + -16.157898"
8,1.7109001,"(exp(x0) + -17.736626) + exp(cosh(x1))"
9,1.7088856,"exp(cosh(x1)) + ((x0 * 1.7904708) + -16.885937)"
10,1.7061036,"(exp(cosh(x1)) + sinh(x0 * 1.3840715)) + -16.815065"
11,1.6889666,"(exp(cosh(x1)) + exp(x0)) + (cosh(x2) + -18.901545)"
12,1.6829406,"((exp(x0) + -17.261446) + cosh(x2 * x2)) + exp(x1)"
13,1.665006,"exp(x0) + (cosh(x2 * x2) + (exp(cosh(x1)) + -18.84006))"
14,1.6488119,"cosh(sinh(x2 * x2)) + ((exp(x0) + exp(cosh(x1))) + -18.866373)"
15,1.5740856,"(sinh(x1 + x0) + cosh(((x2 * -7.2966704) + 5.5709915) * x2)) + -15.394715"
16,1.573594,"(cosh(x2 * ((x2 * -7.2508006) + 5.5276513)) + -15.769655) + ((x1 + x0) * 1.7002683)"
17,1.5516684,"(((x0 * 1.7210385) + cosh(((x2 * -7.1914644) + 5.467149) * x2)) + -16.652851) + exp(x1)"
18,1.5323256,"(cosh((x2 + 0.18845317) * ((x2 * -5.9186816) + 4.405032)) + ((x1 + x0) * 1.8214283)) + -16.108183"
19,1.5193707,"((x0 * 1.7957765) + (exp(x1) + -16.8829)) + cosh(((x2 * -5.9607615) + 4.4289136) * (x2 + 0.16958137))"
20,1.517172,"((exp(sinh(x1)) + cosh((x2 + 0.1752645) * ((x2 * -5.957107) + 4.435524))) + (x0 * 1.7402632)) + -16.962986"
21,1.5028245,"((cosh((x2 + (x1 * 0.2564343)) * ((x2 * -5.981674) + 4.468378)) + -16.719687) + (x0 * 1.7164578)) + exp(x1)"
22,1.4778634,"x0 + (x0 + (-14.870008 + (((-1.0204314 + cosh((x2 + 0.38420007) * ((x2 * -6.24565) + 4.740679))) * x1) + x2)))"
24,1.4540837,"x0 + ((x0 + -14.74043) + (x2 + (x1 * ((x1 + cosh(((x2 * -6.2073264) + 4.7078085) * (x2 + 0.38346365))) + -1.9413654))))"
25,1.4433441,"((x0 + x2) + (-14.600798 + x0)) + (x1 * (cosh(((x2 * -6.2095714) + 4.7073145) * (x2 + 0.38366288)) + sinh(x1 + -1.8771068)))"
26,1.4286865,"x1 + (x0 + ((cosh(((x2 * -7.8898) + 5.9234376) * x2) + exp(x1 + ((exp(x0 * -80646.78) + x2) * -1.7689813))) + -15.971047))"
27,1.4018791,"sinh(x1 + exp((exp(x0 * -80644.086) + x2) * -1.3971547)) + (((x0 + cosh(x2 * ((x2 * -6.3441772) + 4.7226305))) * 1.5591615) + -16.786034)"
28,1.3827994,"(x2 + -17.228647) + ((exp(x1 + ((x2 + exp(x0 * -80646.78)) * -1.497009)) + (x0 + cosh(x2 * ((x2 * -6.201311) + 4.6429873)))) * 1.5420513)"
30,1.3588742,"(x2 + x1) + (-16.938137 + (((x0 + exp(x1 + ((exp(x0 * -80646.78) + x2) * -2.9165275))) + cosh(x2 * ((x2 * -6.858643) + 5.261918))) * 1.389882))"
31,1.3535683,"((x2 + x1) + ((cosh(((x2 * -6.852914) + 5.214597) * x2) + (x0 + exp(sinh((x2 + exp(x0 * -80646.78)) * -2.2448413) + x1))) * 1.2762281)) + -16.715107"
32,1.3458906,"(((x0 + exp(((exp(x0 * -80646.78) + x2) * -3.0793962) + x1)) + cosh(((x2 * -7.0088205) + 5.4036913) * x2)) * 1.3407129) + ((x1 * x1) + (-16.694653 + x2))"
34,1.3236635,"((cosh(x2 * ((x2 * -5.857503) + 4.1910343)) + x0) * 1.37992) + (exp((((x2 + -0.5349123) + exp((x2 * -16.857784) + ((x0 * -72509.61) + 3.7960691))) * -0.75980407) + x1) + -16.86136)"
37,1.3201511,"((cosh(x2 * ((x2 * -6.1603527) + 4.317284)) + cosh(x0)) * 1.0241113) + (exp(x1 + (((x2 + -0.5166479) + exp(((x0 * -72509.61) + 3.6882882) + (x2 * -16.863626))) * -0.76336014)) + (x0 + -17.456245))"
