mould_position,point,datetime,exp_param_a,exp_param_b,exp_param_c,time_elapsed_hours,estimated_halflife_hours,time_elapsed_halflives,lin_param_m,lin_param_c
A1,3,2026-08-05 08:08:55,8.95540618084241,0.1280849167378022,91.0445938191576,23.26,5.41,4.3,-0.3568,98.353
A1,4,2026-08-06 09:41:42,10.27069826657579,0.0852451706076559,89.51110160361596,48.8,8.13,6.0,-0.043,91.6411
A2,3,2026-08-05 08:09:43,11.218062294896212,0.1584303707779324,88.78193770510379,22.78,4.38,5.21,-0.4858,97.9106
A2,4,2026-08-06 09:42:10,12.323697124508112,0.120614986380512,87.51036463475148,48.32,5.75,8.41,-0.0237,88.6014
A3,3,2026-08-05 08:10:13,12.887074588286136,0.2589953152425418,87.11292541171386,22.28,2.68,8.33,-0.6415,97.7367
A3,4,2026-08-06 09:42:40,13.662782172150926,0.2291246162105957,86.31921656605142,47.82,3.03,15.81,-0.0019,86.4009
A4,3,2026-08-05 08:10:45,11.893701786954267,0.1479423611601795,88.10629821304573,21.87,4.69,4.67,-0.5861,98.7948
A4,4,2026-08-06 09:43:14,13.053862755570425,0.1088105955002505,86.70445270040803,47.41,6.37,7.44,-0.0368,88.3908
B1,3,2026-08-05 08:11:20,14.643141988997442,0.0910562328179845,85.35685801100256,21.53,7.61,2.83,-0.6447,99.2565
B1,4,2026-08-06 09:43:50,14.369808830214621,0.09591596120320779,85.66832103857014,47.07,7.23,6.51,-0.0558,88.2662
