Complexity,Loss,Equation
1,2.4223447,"-12.936967"
3,2.1173818,"x0 + -13.356943"
4,2.039652,"exp(x0) + -14.539411"
5,1.8739481,"(x1 + -13.790712) + x0"
6,1.7909628,"(exp(x1) + -14.97527) + x0"
7,1.7228676,"(exp(x1) + exp(x0)) + -16.157898"
8,1.7206892,"exp(x1) + ((x0 * 1.8338318) + -15.3253975)"
9,1.7091643,"(((x1 * x1) + x0) * 1.8188102) + -14.212817"
10,1.6955786,"((x1 / sin(exp(x2))) + -15.081182) + exp(x0)"
11,1.6770029,"((x0 + (x1 / sin(exp(x2)))) * 1.537644) + -14.415838"
12,1.6624223,"(x1 / (sin(exp(x2)) + -0.14485908)) + (exp(x0) + -15.219342)"
13,1.6052741,"(((x1 / sin(exp(x2 * x2))) + x0) * 1.6625948) + -14.504253"
14,1.5775099,"(x1 / sin(exp((x2 * 1.8940347) + -0.8282658))) + (exp(x0) + -15.23311)"
15,1.5509876,"((x1 / sin(exp((x2 / cos(x2)) + -0.7801062))) + exp(x0)) + -15.250651"
16,1.5343008,"((x1 / sin(exp(((x2 * 1.8737799) * x2) + -0.8017841))) + -15.304964) + exp(x0)"
17,1.487741,"sin(inv(sin(((x1 + 0.084167436) * cos(x2 * 1.714334)) * -6.085496))) + (x0 + -12.923969)"
18,1.48186,"(-12.923966 + x0) + sin(inv(sin(sin((-6.085527 * (x1 + 0.08412878)) * cos(1.7144667 * x2)))))"
19,1.4270914,"(x0 + (-13.362383 + sin(inv(sin(((x1 + 0.08133289) * cos(1.711378 * x2)) * -6.1232257))))) + x0"
20,1.41824,"x0 + ((x1 + -13.428975) + sin(cos(x0) / ((cos(x2 * 1.7104986) * (x1 + 0.022849508)) * -6.10618)))"
21,1.4168038,"sin(inv((cos(x2 * 1.7106943) * -6.124295) * (x1 + 0.022655075)) * cos(x0)) + (x0 + (x1 + -13.446733))"
22,1.3531973,"x0 + (sin(cos(x0) * inv(sin(cos(x2 * 1.7106943) * ((x1 + 0.022657014) * -6.124295)))) + (x1 + -13.446733))"
23,1.3397539,"((x1 + (sin(inv(cos(x2 * 1.7070668) * ((x1 + 0.023175608) * -6.1026816)) * cos(x0)) + x0)) * 1.3716017) + -13.617117"
24,1.2894961,"((sin(x0 + sin(cos(x0) * inv((x1 + 0.02347709) * (cos(x2 * 1.7071451) * -6.0685945)))) + x1) * 1.6725533) + -13.691216"
25,1.2893825,"-13.691216 + ((sin(sin(inv(sin(cos(1.7071451 * x2) * (0.023479253 + x1)) * -6.0685945) * cos(x0)) + x0) + x1) * 1.6725533)"
26,1.2801019,"-13.421775 + (((x1 + 1.3808721) * sin(x0 + sin(inv((x1 + 0.023273533) * (cos(x2 * 1.7090019) * -6.042315)) * cos(x0)))) + x1)"
28,1.2702059,"((sin(x0 + sin((x2 * -0.2473273) + (inv((0.02317252 + x1) * (-6.10394 * cos(x2 * 1.7068129))) * cos(x0)))) + x1) * 1.7068129) + -13.663881"
30,1.2574255,"((sin(sin((x2 * -0.30905822) + (cos(x0 / 0.87603736) * inv((cos(x2 * 1.7064208) * (x1 + 0.023027856)) * -6.1039333))) + x0) + x1) * 1.7068183) + -13.663871"
31,1.2491516,"((sin(x0 + sin((inv((cos(x2 * 1.7064208) * (x1 + 0.023027856)) * -6.1039333) * cos(x0 / cos(x1))) + (x2 * -0.30905822))) + x1) * 1.7068183) + -13.663871"
32,1.2413509,"((x1 + sin(x0 + sin((x2 * -0.3929188) + (cos(x0 + (x1 * 0.2893495)) * inv((x1 + 0.023378752) * (cos(x2 * 1.7055106) * -6.0821137)))))) * 1.7358538) + -13.638744"
34,1.2248417,"((x1 + sin(sin(cos(x0 + (x1 * x0)) * ((x0 * (x2 / -0.4654616)) + inv(((x1 + 0.023431523) * -6.1027365) * cos(x2 * 1.7056805)))) + x0)) * 1.7056805) + -13.642393"
35,1.2128863,"((x1 + sin(x0 + sin(cos((x0 * x1) + x0) * (inv(cos(x2 * 1.7047955) * (-6.1110816 * sin(x1 + 0.023494434))) + ((x2 * x0) / -0.4246123))))) * 1.7114414) + -13.639164"
36,1.2093526,"((sin(x0 + sin(cos(x0 + (x0 * x1)) * ((x2 * (x0 / -0.42523155)) + inv(((sin(sin(x1)) + 0.023472775) * cos(x2 * 1.7051902)) * -6.105519)))) + x1) * 1.7533871) + -13.647925"
37,1.2050041,"((sin(x0 + sin(cos((x0 + 0.047989428) + (x1 * x0)) * (((x0 / -0.41112962) * x2) + inv((sin(0.023236142 + x1) * cos(x2 * 1.7049552)) * -6.0997043)))) + x1) * 1.7049552) + -13.625171"
38,1.1980119,"((x1 + sin(sin((((x0 * x2) / -0.4249751) + inv((cos(x2 * 1.7056729) * sin(sin(x1 + 0.023199301))) * -6.102843)) * cos((x0 + (x0 * x1)) + 0.04696607)) + x0)) * 1.7481302) + -13.649865"
39,1.1972376,"((sin(x0 + sin((((x2 * x0) / -0.43893263) + inv((sin(sin(x1 + 0.023225654)) * cos(x2 * 1.7056513)) * -6.1028438)) * cos((x0 + sin(x1 * x0)) + 0.04698099))) + x1) * 1.7539924) + -13.649871"
40,1.1958541,"((sin(sin((((x0 * x2) / -0.42053118) + (inv((sin(sin(x1 + 0.023177506)) * cos(x2 * 1.7056997)) * -6.1028423) + 0.054488983)) * cos((x0 * x1) + (x0 + 0.04696609))) + x0) + x1) * 1.7056997) + -13.649866"
