Complexity,Loss,Equation
1,2.4223447,"-12.936967"
3,2.1173818,"x0 + -13.356943"
4,2.039652,"exp(x0) + -14.539411"
5,1.8739481,"(x1 + x0) + -13.790769"
6,1.7909625,"exp(x1) + (x0 + -14.975172)"
7,1.7228678,"(exp(x1) + -16.157839) + exp(x0)"
8,1.7206892,"((x0 * 1.8335408) + -15.325282) + exp(x1)"
9,1.7091643,"((x0 + (x1 * x1)) * 1.8184696) + -14.212569"
10,1.6955786,"(exp(x0) + (x1 / sin(exp(x2)))) + -15.081324"
11,1.6836535,"((x1 / sin(sin(exp(x2)))) + -15.149054) + exp(x0)"
12,1.6636988,"(exp(x0) + -15.062226) + (x1 / sin(exp(x2 * x2)))"
13,1.5846202,"((-0.013519227 / (x2 + -1.0070112)) + -14.540094) + ((x1 + x0) * 1.7568374)"
14,1.5834236,"(x0 * 1.869702) + ((x1 * (sin(x2 / 0.14145347) + 1.8001226)) + -14.489841)"
15,1.555488,"(((x1 * x1) + (x0 + (-0.006909465 / (x2 + -1.0061737)))) * 1.7972621) + -14.32386"
16,1.517256,"((((x1 * (sin(x2 / 0.15079232) + x1)) + x0) * 1.7570883) + -14.524252) + x2"
17,1.4991609,"-14.523497 + (x2 + (1.7573435 * (x0 + ((x1 + sin(sin(x2 / 0.15080132))) * x1))))"
19,1.4984804,"(((x1 * ((sin(sin(x2 / 0.15080132)) + x1) * 1.5622064)) + x2) + -14.523497) + (x0 * 1.7573435)"
20,1.4680905,"((x1 * (sin(x2 / 0.1588749) + 1.7084647)) + -14.575089) + ((x0 * 1.8006318) + (-0.035116445 / (x2 + -1.0169653)))"
22,1.4491112,"(x0 * 1.8303901) + ((-0.04354046 / (x2 + -1.0215697)) + ((x1 * (sin(x2 / 0.15783192) + (x1 * 1.777418))) + -14.361196))"
23,1.4323802,"(((x1 + (x0 + (-0.014810612 / (x2 + -1.010381)))) * 1.570325) + -14.671137) + sin(0.17442462 / ((x0 + exp(x2)) + -1.145772))"
24,1.4175713,"(sin(0.17485832 / ((x2 + -0.13827181) + x0)) + (((-0.008548267 / (x2 + -1.0065498)) + ((x1 * x1) + x0)) * 1.5710226)) + -14.364616"
25,1.4012291,"(((((-0.006909465 / (x2 + -1.0055981)) + x0) + (x1 * x1)) * 1.6903152) + sin(0.17404336 / (x0 + (exp(x2) + -1.1468565)))) + -14.40663"
26,1.4004549,"(((((-0.006909465 / (-1.0055981 + x2)) + x0) + (x1 * x1)) * 1.6903152) + -14.40663) + sin(0.17404336 / (sin(x0) + (exp(x2) + -1.1468565)))"
27,1.3893961,"(((-0.006909465 / (x2 + -1.0055981)) + ((x1 * x1) + x0)) * 1.6903152) + (sin(0.17404336 / (exp(x2 + (x0 * 0.70008725)) + -1.1468565)) + -14.40663)"
28,1.3783225,"((((-0.006909465 / (x2 + -1.0055981)) + (x0 + (x1 * x1))) * 1.6903152) + -14.40663) + sin(0.17404336 / (exp(x2 + (0.67417306 * sin(x0))) + -1.1468565))"
29,1.3779606,"((((-0.006909465 / (x2 + -1.0055981)) + ((x1 * x1) + x0)) * 1.6903152) + sin(0.17404336 / (exp(x2 + sin(sin(x0 * 0.67417306))) + -1.1468565))) + -14.40663"
30,1.3481901,"(sin(0.17485832 / ((x2 + -0.13827181) + x0)) + (((-0.008548267 / (x2 + -1.0065498)) + ((((-0.008548267 / (x2 + -0.76718384)) + x1) * x1) + x0)) * 1.5710226)) + -14.364616"
32,1.3404083,"((1.5710226 * ((-0.008548267 / (x2 + -1.0065498)) + ((x1 + (-0.008548267 / (x2 + -0.76718384))) * x1))) + sin(0.17485832 / ((x2 + -0.13827181) + x0))) + ((-14.5394745 + x0) + x0)"
33,1.3309304,"(((-0.005412817 / (x2 + -0.7685653)) + ((x1 * x1) + (-0.013784422 / (x2 + -1.0102549)))) * 1.5710365) + (x0 + (-14.436776 + sin((0.17478 / (exp(x2 + x0) + -1.1474013)) + x0)))"
34,1.3289628,"(sin(sin(x0) + (0.17478 / ((exp(x2) + -1.1474013) + x0))) + -14.436776) + (((((-0.005412817 / (x2 + -0.7685653)) + (x1 * x1)) + (-0.013784422 / (x2 + -1.0102549))) * 1.5710365) + x0)"
35,1.2979016,"x0 + (cos((0.17478 / (exp(x2) + (x0 + -1.1474013))) + -1.6996043) + (x0 + (-14.436776 + (((-0.013784422 / (x2 + -1.0102549)) + (x1 * ((-0.013784422 / (-0.7685653 + x2)) + x1))) * 1.5710365))))"
36,1.2943419,"cos((0.17478 / (exp(x2) + (x0 + -1.1474013))) + -1.6996043) + (sin(x0) + (((((x1 + (-0.013784422 / (-0.7685653 + x2))) * x1) + (-0.013784422 / (x2 + -1.0102549))) * 1.5710365) + (x0 + -14.436776)))"
37,1.2804596,"((((((x1 + (-0.013784422 / (x2 + -0.7685653))) * x1) + (-0.013784422 / (x2 + -1.0102549))) * 1.5710365) + cos((0.17478 / (exp(x2) + ((x0 / 1.363457) + -1.1474013))) + -1.6996043)) + (x0 + -14.436776)) + x0"
38,1.2784256,"((cos(-1.6996043 + (0.17478 / (x0 + (exp(x2) + -1.1474013)))) + (((-0.013784422 / (x2 + -1.0102549)) + ((x1 + (cos(x0) * (-0.013784422 / (x2 + -0.7685653)))) * x1)) * 1.5710365)) + (-14.436776 + x0)) + x0"
39,1.27476,"(((((x2 * (-0.013784422 / (x2 + -0.7685653))) + x1) * x1) + (-0.013784422 / (-1.0102549 + x2))) * 1.5710365) + ((cos((0.17478 / ((exp(x2) + (x0 / 1.363457)) + -1.1474013)) + -1.6996043) + (x0 + -14.436776)) + x0)"
40,1.2606186,"((((((x1 + (cos(x0) * (-0.013784422 / (x2 + -0.7685653)))) * x1) + (-0.013784422 / (x2 + -1.0102549))) * 1.5710365) + cos((0.17478 / (exp(x2) + ((x0 / 1.363457) + -1.1474013))) + -1.6996043)) + (x0 + -14.436776)) + x0"
