Complexity,Loss,Equation
1,2.4223447,"-12.936967"
3,2.1173818,"x0 + -13.356943"
4,2.0396523,"exp(x0) + -14.5394745"
5,1.873948,"x1 + (x0 + -13.790745)"
6,1.7466633,"sinh(x0 + x1) + -14.008733"
7,1.7228676,"(exp(x1) + exp(x0)) + -16.157898"
8,1.7206892,"(x0 * 1.8330872) + (exp(x1) + -15.325092)"
9,1.7088859,"(exp(cosh(x1)) + -16.886038) + (x0 * 1.7907189)"
10,1.7084008,"(x0 * 1.79818) + (cosh(x1 * 1.720004) + -15.175839)"
11,1.705084,"((sinh(x1 * x1) + sinh(x0)) * 1.5991575) + -14.153006"
12,1.703421,"cosh(x1 * 1.6999209) + ((cosh(cosh(x2)) * x0) + -15.160945)"
13,1.6019105,"(sinh(x2 * 21.633898) * 1.4140117e-9) + (sinh(x1 + x0) + -14.131789)"
14,1.5761939,"((sinh(exp(x2 * 3.050566)) * 2.8396898e-9) + sinh(x1 + x0)) + -14.124166"
15,1.5707936,"(cosh(sinh(x2 * -3.469482)) * 4.5048665e-7) + (((x0 + x1) * 1.7563611) + -14.536988)"
16,1.5642705,"((x0 + ((x1 * x1) + (sinh(x2 * -21.604265) * -8.006777e-10))) * 1.7825905) + -14.307193"
17,1.5432111,"(((x0 + (x1 * x1)) * 1.7916738) + -14.300027) + (cosh(sinh(x2 * -3.5284162)) * 1.687647e-7)"
18,1.5347704,"(((inv(cosh(x2)) * (x1 + x0)) * 2.0913677) + (cosh(sinh(exp(x2))) * 0.0024113362)) + -14.663306"
19,1.522487,"(cosh(sinh(exp(x2))) * 0.0026919101) + (((inv(sinh(cosh(x2))) * 2.5697668) * (x0 + x1)) + -14.668071)"
20,1.5137708,"(sinh(sinh(x2 * 3.1810496)) * 2.9282357e-5) + (((x0 + (sinh(x1) * inv(exp(x2)))) * 2.0424309) + -14.525891)"
21,1.5129623,"(sinh(sinh(exp(x2) * x2)) * 0.002578442) + (((x0 + (inv(exp(x2)) * sinh(x1))) * 2.044956) + -14.532675)"
22,1.5063295,"((sinh(sinh(x2 * exp(x2))) * 0.0025702557) + -14.476851) + ((x0 + (inv(exp(x2)) * sinh(sinh(x1)))) * 1.8805523)"
23,1.476218,"(cosh(cosh(exp(x2))) * 0.0021624395) + (((x1 + (x0 * inv(x0 + -0.00013670525))) * (inv(cosh(x2)) + x0)) + -14.872274)"
24,1.4138453,"(x0 + (sinh(((x0 * inv(x0 + -4.9162678e-5)) + x1) * inv(cosh(x2))) + (sinh(exp(exp(x2))) * 1.5005935e-6))) + -15.037377"
26,1.4126127,"((x0 + -15.037376) + sinh(inv(cosh(sinh(x2))) * (x1 + (inv(x0 + -8.153744e-5) * sinh(x0))))) + (0.002522029 * cosh(cosh(exp(x2))))"
27,1.406798,"(x0 + (-15.037377 + sinh(inv(cosh(x2)) * ((sinh(x0) * inv(-4.9175964e-5 + x0)) + x1)))) + ((sinh(sinh(exp(x2))) * 0.0026610463) + -0.12316868)"
28,1.3960991,"((sinh(x1 + ((inv(cosh(exp(x2) * x2)) * inv(-6.398015e-5 + x0)) * x0)) + -15.191309) + (cosh(sinh(sinh(cosh(x2)))) * 0.05895321)) + x0"
29,1.3818258,"((-15.191309 + sinh(x0)) + sinh(x1 + ((inv(cosh(x2 * exp(x2))) * inv(-6.398015e-5 + x0)) * x0))) + (0.05895321 * sinh(sinh(sinh(cosh(x2)))))"
30,1.3734462,"sinh(x1 + (x0 * (inv(x0 + -6.398015e-5) * inv(cosh(x2 * exp(x2)))))) + ((sinh(sinh(x0)) + -15.191309) + (sinh(sinh(sinh(cosh(x2)))) * 0.05895321))"
31,1.3672826,"(((sinh(sinh(sinh(cosh(x2)))) * 0.05895321) + sinh(sinh(x0))) + sinh(x1 + (inv(x0 + -6.398015e-5) * (x0 * inv(cosh(sinh(sinh(x2 * 1.4500613)))))))) + -15.191309"
32,1.3665863,"(sinh(x1 + ((inv(x0 + -6.398015e-5) * x0) * inv(cosh(sinh(sinh(sinh(x2) * -1.334251)))))) + (-15.191309 + sinh(sinh(x0)))) + (sinh(sinh(sinh(cosh(x2)))) * 0.05895321)"
34,1.3661561,"(sinh(sinh(sinh(cosh(x2)))) * 0.05895321) + ((sinh(sinh(x0 + 0.03408295)) + -15.191309) + sinh(((x0 * inv(x0 + -6.398015e-5)) * inv(cosh(x2 * sinh(sinh(cosh(x2)))))) + x1))"
36,1.3527236,"(((((inv(cosh(exp(x2 + x1) * x2)) * (x2 + (x0 * inv(x0 + -0.00011032811)))) * 1.3689792) + (x0 + x1)) * cosh(x1)) + (sinh(cosh(x2 * -2.2561967)) * 0.046161298)) + -15.289702"
37,1.3444954,"((((cosh(-0.68522334) * ((inv(cosh(exp(x2 + x1) * x2)) * (x2 + (x0 * inv(x0 + -0.00011032811)))) + x0)) + x1) * cosh(x1)) + (cosh(sinh(x2 * -2.2561967)) * 0.046161298)) + -15.289702"
42,1.341534,"((((sinh(cosh(sinh(-1.4888144 * x2))) * 0.067208454) + (x1 + sinh(x0))) + (inv(cosh(sinh(sinh(x2 * ((x0 * inv(x0 + -0.0043176846)) + x1))))) * ((inv(x0 + -0.004317698) * x0) + x2))) * cosh(x1)) + -15.1928215"
43,1.3383703,"(((((sinh(cosh(sinh(-1.4888144 * x2))) * 0.067208454) + x1) + sinh(x0)) + (inv(cosh(sinh(sinh(x2 * ((x0 * inv(-0.0043176846 + x0)) + sinh(x1)))))) * ((inv(x0 + -0.004317698) * x0) + x2))) * cosh(x1)) + -15.1928215"
44,1.3333076,"((((sinh(cosh(sinh(x2 * -1.4888144))) * 0.067208454) + sinh(x0)) + (x1 + ((x2 + (x0 * inv(x0 + -0.004317698))) * inv(cosh(sinh(sinh(x2 * ((inv(x0 + -0.004317698) * x0) + x1)) * 1.0976677)))))) * cosh(x1)) + -15.1928215"
45,1.3313394,"(cosh(x1) * (((sinh(cosh(sinh(x2 * -1.4888144))) * 0.067208454) + (sinh(sinh(x0)) + x1)) + (((inv(x0 + -0.004317698) * x0) + x2) * inv(cosh(sinh(sinh(x2 * ((inv(x0 + -0.0043176846) * x0) + x1)) * 1.0976677)))))) + -15.252507"
48,1.3267466,"(cosh(x1) * (((0.067208454 * cosh(cosh(sinh(x2 * -1.4888144)))) + sinh(x0)) + ((inv(cosh(sinh(x2 * sinh(x1 + (inv(cosh(-0.8890708 + x2) * (sinh(x0) + -0.0043176846)) * x0))))) * (x2 + (x0 * inv(-0.004317698 + x0)))) + x1))) + -15.1928215"
50,1.3221475,"(cosh(x1) * ((cosh(sinh(sinh(x2 * -1.4888144))) * 0.067208454) + ((sinh(x0) + (inv(cosh(sinh(x2 * sinh(x1 + (inv(cosh((x0 + -0.8890708) + x2) * sinh(x0 + -0.0043176846)) * x0))))) * ((x0 * inv(x0 + -0.004317698)) + x2))) + x1))) + -15.1928215"
