Complexity,Loss,Equation
1,2.4223447,"-12.936968"
3,2.1173818,"x0 + -13.356943"
4,2.0396523,"exp(x0) + -14.5394745"
5,1.8739481,"(x0 + -13.790678) + x1"
6,1.7466633,"sinh(x0 + x1) + -14.008733"
7,1.7228676,"(exp(x1) + exp(x0)) + -16.157898"
8,1.7176721,"(exp(sinh(x1)) + exp(x0)) + -16.246553"
9,1.7091643,"((x0 + (x1 * x1)) * 1.8186512) + -14.212676"
10,1.7090695,"((sinh(x1 * x1) + x0) * 1.6999732) + -14.167714"
11,1.705084,"((sinh(x1 * x1) + sinh(x0)) * 1.5991671) + -14.152998"
12,1.6929648,"(cosh(x2 + -1.4945838) * (x1 + (x0 + x2))) + -14.948585"
13,1.6386075,"((sinh(x2 * -25.015966) * -5.1419407e-11) + (-15.129244 + x1)) + exp(x0)"
14,1.6059309,"(sinh(x2 * -13.765807) * -2.9115108e-6) + ((exp(x1) + exp(x0)) + -16.293924)"
15,1.5401238,"(((x0 + x1) + x2) * cosh(sinh(x2 * -1.76309) + 1.6990759)) + -14.888473"
16,1.5023072,"(cosh(((x2 * x2) * -2.7645018) + 1.5640299) * (x2 + (x1 + x0))) + -14.991825"
17,1.4902835,"(cosh(sinh((x2 * x2) * -1.7739699) + 1.5126125) * ((x2 + x1) + x0)) + -15.076766"
18,1.4864982,"(cosh(sinh(x2 * (x2 * -1.742937)) + 1.4605714) * ((x2 + sinh(x1)) + x0)) + -15.070434"
20,1.4803259,"(((sinh(x1) + (x2 + x0)) * 0.8705628) * cosh(sinh(x2 * (x2 * -1.8188756)) + 1.563799)) + -14.922387"
22,1.4802759,"(((((sinh(x1) * 0.98244154) + x0) + x2) * cosh(sinh(x2 * (x2 * -1.8185276)) + 1.5646706)) * 0.877824) + -14.927061"
23,1.4672915,"(((x0 * 1.85817) + x2) + -14.596862) + ((cosh(cosh(x2 * 1.781308)) + ((x2 * (x2 * -8.691351)) + x1)) * x1)"
24,1.4583838,"((x0 * 1.8815087) + -14.631102) + (x2 + (x1 * (((x2 * x2) * -7.2978563) + (cosh(cosh(sinh(x2 * -1.324682))) + x1))))"
25,1.4528631,"(((x1 * ((x2 * (x2 * -7.2978563)) + (cosh(cosh(sinh(x2 * -1.324682))) + sinh(x1)))) + -14.631102) + (x0 * 1.8815087)) + x2"
26,1.4517851,"(x2 + ((x0 * 1.8343253) + (((((x2 * -7.1854453) * sinh(x2)) + cosh(cosh(sinh(x2) * -1.5148731))) + sinh(x1)) * x1))) + -14.618452"
27,1.445584,"((x0 * 1.8157637) + (x2 + ((((x2 * x2) * -11.712649) + (x1 + ((sinh(sinh(sinh(sinh(x2)))) * 3.3445423) + 1.3877681))) * x1))) + -14.6576"
28,1.442586,"(x2 + (x0 * 1.7904742)) + ((((((sinh(sinh(sinh(sinh(x2)))) * 3.3160117) + cosh(x1)) + x1) + ((x2 * x2) * -11.634335)) * x1) + -14.590202)"
29,1.4387066,"(x2 + (x0 * 1.7906358)) + (((((sinh(sinh(sinh(sinh(x2)))) * 3.2865562) + 0.4077574) + ((x1 + x1) + ((x2 * x2) * -11.464587))) * x1) + -14.517556)"
30,1.4363441,"(((x1 * (((((x2 * x2) * -11.627266) + x1) + (x1 + (sinh(sinh(sinh(sinh(x2)))) * 3.2579772))) + 0.46094927)) + -14.543944) + (x0 * 1.7936919)) + sinh(x2)"
31,1.4351746,"(x0 * 1.8118991) + (((x1 * ((x1 + (sinh(sinh(sinh(sinh(x2)))) * 3.325193)) + ((x2 * ((x2 * -12.971788) + x1)) + 1.3164008))) + -14.663673) + sinh(sinh(x2)))"
32,1.4339825,"((x1 * (((sinh(sinh(sinh(sinh(x2)))) * 3.308368) + x1) + (((sinh(x1) + (x2 * -12.985921)) * x2) + 1.2768273))) + sinh(sinh(x2))) + ((x0 * 1.8077052) + -14.650023)"
33,1.4225789,"(x1 * (cosh(cosh(x2 * 1.7964137)) + (x2 * (x2 * -9.39075)))) + (x0 + ((x2 + x0) + (((x1 + 0.034137156) * sinh(sinh((x1 + x1) + -2.0866332))) + -13.325248)))"
35,1.4184455,"x0 + ((x2 + (x0 + -12.758102)) + (((x1 + 0.046659134) * (x1 + sinh(sinh(x1 + (x1 + -2.1278744))))) + ((x2 * x1) * ((cosh(cosh(x2 * 1.7166046)) + -8.634285) * x2))))"
36,1.4112954,"(sinh(sinh(x1 + (x1 + -2.1123621))) * (x1 + 0.037237708)) + ((x2 + (x0 + x1)) + ((x0 + ((((x2 * -8.542045) + cosh(cosh(sinh(x2 * 1.318368)))) * x1) * x2)) + -13.123625))"
37,1.4097109,"((x1 + x2) + (x0 + (x0 + -13.228366))) + ((x1 * (((x2 * -8.537626) + cosh(cosh(sinh(x2 * 1.3179388)))) * x2)) + ((x1 + 0.03735149) * sinh(sinh((x1 + -2.0910552) + sinh(x1)))))"
38,1.4063568,"(x2 + x1) + ((((((sinh(sinh(x2 * 1.761519)) + -9.24406) * x2) + cosh(x1)) * x2) * x1) + ((sinh(sinh((x1 + x1) + -2.115508)) * (x1 + 0.03941781)) + ((x0 * 1.852707) + -12.987742)))"
39,1.4039081,"((x1 + (x0 * 1.852707)) + (sinh(sinh(x1 + (x1 + -2.115508))) * (x1 + 0.03941781))) + (-12.987742 + (((x2 * x1) * (((sinh(sinh(x2 * 1.761519)) + -9.24406) * x2) + cosh(sinh(x1)))) + x2))"
40,1.403636,"(((x0 + -13.10375) + (x2 + x1)) + x0) + ((sinh(sinh((x1 + -2.1056201) + x1)) * (x1 + 0.03925926)) + ((x1 * (cosh(sinh(x1)) + ((sinh(sinh(sinh(x2 * 1.3178755))) + -8.421852) * x2))) * x2))"
