mould_position,datetime,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2026-08-04 08:53:34,3.1391,6.385,3.2459
A2,2026-08-04 09:22:52,3.11728,6.45115,3.33387
A3,2026-08-04 09:53:14,3.09344,6.3406,3.24716
A4,2026-08-04 10:18:35,3.26201,6.40062,3.13861
B1,2026-08-04 10:39:37,3.21793,6.44378,3.2258500000000003
A1,2026-08-04 14:20:04,3.1391,6.23783,3.1
A2,2026-08-04 14:21:11,3.11728,6.24433,3.13
A3,2026-08-04 14:21:45,3.09344,6.0575,2.96
A4,2026-08-04 14:22:17,3.26201,6.23155,2.97
B1,2026-08-04 14:23:04,3.21793,6.30547,3.09
A1,2026-08-05 08:08:55,3.1391,6.10482,2.97
A2,2026-08-05 08:09:43,3.11728,6.08307,2.97
A3,2026-08-05 08:10:13,3.09344,5.92237,2.83
A4,2026-08-05 08:10:45,3.26201,6.038,2.78
B1,2026-08-05 08:11:20,3.21793,6.04127,2.82
A1,2026-08-06 09:41:42,3.1391,6.04175,2.9
A2,2026-08-06 09:42:10,3.11728,6.02041,2.9
A3,2026-08-06 09:42:40,3.09344,5.87392,2.78
A4,2026-08-06 09:43:14,3.26201,5.97103,2.71
B1,2026-08-06 09:43:50,3.21793,5.98986,2.77
A1,2026-08-06 19:26:45,3.1391,6.02122,2.88
A2,2026-08-06 19:27:10,3.11728,6.00706,2.89
A3,2026-08-06 19:27:36,3.09344,5.86405,2.77
A4,2026-08-06 19:28:06,3.26201,5.96055,2.7
B1,2026-08-06 19:28:28,3.21793,5.97747,2.76
