mould_position,datetime,mould_mass_g,mould_polymer_mass_g,polymer_mass_g
A1,2026-08-06 20:50:33,3.13859,6.33453,3.19594
A2,2026-08-06 21:21:52,3.14813,6.56711,3.4189799999999995
A3,2026-08-06 21:41:39,3.19367,6.41345,3.21978
A4,2026-08-06 22:01:00,3.07763,6.5363,3.4586699999999997
A5,2026-08-06 22:19:27,3.14854,6.24524,3.0967
A1,2026-08-07 22:43:56,3.13859,6.14468,3.01
A2,2026-08-07 22:44:23,3.14813,6.39518,3.25
A3,2026-08-07 22:44:59,3.19367,6.2106,3.02
A4,2026-08-07 22:45:30,3.07763,6.38334,3.31
A5,2026-08-07 22:45:57,3.14854,6.01315,2.86
A1,2026-08-08 22:54:42,3.13859,6.09687,2.96
A2,2026-08-08 22:55:12,3.14813,6.33427,3.19
A3,2026-08-08 22:55:39,3.19367,6.13693,2.94
A4,2026-08-08 22:56:11,3.07763,6.29796,3.22
A5,2026-08-08 22:56:49,3.14854,5.94949,2.8
A1,2026-08-09 23:03:08,3.13859,6.06927,2.93
A2,2026-08-09 23:03:23,3.14813,6.30233,3.15
A3,2026-08-09 23:03:55,3.19367,6.09964,2.91
A4,2026-08-09 23:04:23,3.07763,6.25219,3.17
A5,2026-08-09 23:04:57,3.14854,5.91242,2.76
A2,2026-08-10 22:16:28,3.14813,6.27981,3.13
A3,2026-08-10 22:16:54,3.19367,6.07439,2.88
A4,2026-08-10 22:17:20,3.07763,6.22415,3.15
A5,2026-08-10 22:17:56,3.14854,5.88715,2.74
A4,2026-08-11 22:19:05,3.07763,6.20786,3.13
