Complexity,Loss,Equation
1,2.4223447,"-12.93698"
3,2.1173818,"x0 + -13.356943"
4,2.0396523,"exp(x0) + -14.5394745"
5,1.873948,"(x0 + -13.790872) + x1"
6,1.7909628,"exp(x1) + (x0 + -14.975258)"
7,1.7424053,"((x0 + x1) + -8.101064) * 1.785093"
8,1.7236384,"((-15.407132 + x0) + x0) + exp(x1)"
10,1.7126665,"((cos(x1) + 0.98921067) * (x0 + -4.6715245)) + -5.01701"
13,1.6146162,"((x0 + -14.217768) + x0) + (x1 * exp(sin(x2 * 7.121657)))"
15,1.5827204,"(x2 + ((x1 + sin(exp(x2 + x2))) * x1)) + (x0 + -14.205212)"
16,1.5732211,"(((((sin(x2 * 6.739471) + x1) * x1) + x0) + x2) + -14.491737) + x0"
17,1.524419,"(x2 + ((x1 + sin(exp(x2 + x2))) * x1)) + (x0 + (x0 + -14.625544))"
18,1.519448,"(x2 + (((x0 + (sin(exp(x2 + x2)) * sin(x1))) * 1.7142835) + x1)) + -14.716813"
19,1.4916602,"x0 + (((x1 * 1.3417073) * (x1 + sin(exp(x2 + x2)))) + ((x2 + -14.756498) + x0))"
20,1.4912955,"((((sin(x1) + sin(exp(x2 + x2))) * (x1 * 1.4281398)) + (x2 + x0)) + -14.750489) + x0"
21,1.4853334,"((x0 * 0.7494211) + (((x1 + sin(exp(x2 + x2))) * (x1 * 1.3515477)) + x2)) + (x0 + -14.655059)"
25,1.4749626,"(x1 + ((sin(exp(x2 + x2)) + sin(exp(exp(sin(x2 + 0.6086854) + x2)))) * x1)) + ((x0 + -14.402652) + x0)"
27,1.3716335,"x0 + ((x2 + -14.626324) + ((((x1 + sin(exp(x2 + x2))) + sin(exp(exp(sin(x2 + 0.60921067) + x2)))) * x1) + x0))"
28,1.3680639,"((-14.569012 + sin(x0)) + (x0 + x2)) + (((sin(exp(x2 + x2)) + sin(exp(exp(x2 + sin(x2 + 0.6091247))))) + x1) * x1)"
30,1.3671938,"((sin(x0) + -14.593285) + (x0 + x2)) + (x1 * ((x1 + sin(exp(x2 + (x2 + -0.011835965)))) + sin(exp(exp(sin(x2 + 0.60906935) + x2)))))"
31,1.3663576,"(x0 + ((x1 * (sin(exp(exp(x2 + sin(x2 + 0.6091543)))) + ((sin(exp(x2 + x2)) + x1) + 0.22208062))) + -14.621599)) + ((x2 + x0) * 0.88494736)"
32,1.3632774,"(x2 * 0.9504371) + ((x0 + (sin(x0) + -14.538996)) + (x1 * (x1 + (sin(-0.16480048 + exp(exp(sin(x2 + 0.60942155) + x2))) + sin(exp(x2 + x2))))))"
39,1.3187695,"((x0 + -14.538996) + (x1 * (sin((exp(exp(x2) + sin(x1)) + x1) + 0.9233511) + ((x1 + sin(exp(exp(x2 + sin(x2 + 0.60942155))))) + sin(exp(x2 + x2)))))) + (x2 + x0)"
41,1.3124727,"((x2 + x0) * 0.9504371) + ((x0 + -14.538996) + (x1 * (((sin((exp(sin(x1) + exp(x2)) + x1) + 0.9233511) + sin(exp(exp(x2 + sin(x2 + 0.60942155))))) + x1) + sin(exp(x2 + x2)))))"
42,1.3096584,"(((x1 + (sin(exp(exp(x2) + sin(x1)) + (cos(x2) + x1)) + sin(exp(exp(sin(x2 + 0.60942155) + x2))))) + sin(exp(x2 + x2))) * x1) + ((((x2 + x0) * 0.9504371) + x0) + -14.538996)"
44,1.3015103,"((x1 * (((sin(exp(x2 + x2)) + sin(exp(exp(sin(x2 + 0.60942155) + x2)))) + x1) + (sin(exp(sin(x1) + exp(x2)) + (cos(x2) + x1)) * 0.7546187))) + (x2 + ((x0 + x0) * 0.9504371))) + -14.538996"
46,1.2976608,"(x1 * (sin(exp(exp(sin(x2 + 0.60942155) + x2))) + (sin(exp(x2 + x2)) + (x1 + (sin(0.85507286) * sin(exp(sin(x1) + exp(x2)) + (cos(x2) + x1))))))) + (((0.9504371 * x2) + (x0 + sin(x0))) + -14.538996)"
66,1.2962725,"x0 + ((x0 + -14.402652) + ((x1 + (x2 * 0.53487605)) * ((sin((-14.150905 * sin(sin((inv(exp((x0 + x2) + 1.2018979)) + 1.880829) + x2) + (x0 + exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)))) + ((exp(sin(-1.0072857)) * -0.686305) + 5.9865065)) + 0.50463694) + ((x1 * 0.972545) + sin(sin(exp(exp(sin(x2 + 0.6086879) + x2))))))))"
67,1.2727153,"x0 + ((x0 + -14.402652) + ((x1 + (x2 * (x2 * 0.53487605))) * ((sin((-14.150905 * sin(sin((inv(exp(x0 + (x2 + 1.2018979))) + 1.880829) + x2) + (x0 + exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)))) + ((exp(sin(-1.0072857)) * -0.686305) + 5.9865065)) + 0.50463694) + ((x1 * 0.972545) + sin(exp(exp(sin(x2 + 0.6086879) + x2)))))))"
70,1.259419,"x0 + ((0.9048655 * (x2 * x2)) + ((((sin(x1 * 1.8056645) + (sin(exp(exp(x2 + sin(x2 + 0.6086879)))) + sin(((x2 + x2) * -0.686305) + (5.9865065 + (sin((x0 + exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)) + sin((x2 + 1.880829) + inv(exp(x0 + 1.2018979)))) * -14.150905))))) + sin(exp(x2 + x2))) * x1) + (x0 + -14.402652)))"
73,1.242334,"x0 + ((((((x1 * 0.972545) + sin(exp(exp(sin(x2 + 0.6086879) + x2)))) + sin((-14.150905 * sin(sin((inv(exp(x0 + (x2 + 1.2018979))) + 1.880829) + x2) + (x0 + exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)))) + ((exp(sin(-0.7209773 + (x2 + (x0 / -0.15750739)))) * -0.686305) + 5.9865065))) + 0.50463694) * (x1 + (x2 * (x2 * 0.53487605)))) + (x0 + -14.402652))"
75,1.2363881,"(x0 + ((sin(sin(x1) * 1.8056645) + ((sin(exp(exp(sin(x2 + 0.6086879) + x2))) + sin((((x2 + 0.13384902) * -0.686305) + -1.0072857) + ((sin((sin(inv(x0 + exp(x2 + 1.2018979)) + (1.880829 + x2)) + x0) + exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)) * -14.150905) + 6.993792))) + sin(exp(x2 + x2)))) * x1)) + (((x2 * x2) * 0.9048655) + (x0 + -14.402652))"
81,1.2181998,"(x0 + ((sin(sin(x1) * 1.8056645) + ((sin(exp(exp(sin(x2 + 0.6086879) + x2))) + sin(((((x2 + -0.7209773) + exp(sin(x0 / -0.15750739))) * -0.686305) + -1.0072857) + ((sin((sin((inv(x0 + exp(x2 + 1.2018979)) + 1.880829) + x2) + x0) + exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)) * -14.150905) + 6.993792))) + sin(exp(x2 + x2)))) * x1)) + (((x2 * x2) * 0.9048655) + (x0 + -14.402652))"
83,1.2174691,"((x0 + ((sin(sin(x1) * (x0 + x1)) + ((sin(exp(exp(sin(x2 + 0.6086879) + x2))) + sin(((((x2 + -0.7209773) + exp(sin(x0 / -0.15750739))) * -0.686305) + -1.0072857) + ((sin((sin((inv(x0 + exp(x2 + 1.2018979)) + 1.880829) + x2) + x0) + exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)) * -14.150905) + 6.993792))) + sin(exp(x2 + x2)))) * x1)) + ((x2 * x2) * 0.9048655)) + (x0 + -14.402652)"
115,1.2061118,"(x0 + (sin(x1 * x1) + (((sin(exp(exp(sin(x2 + 0.6086879) + x2))) + sin((((((x2 / 0.4479178) + -1.810421) / -0.21392259) + (((exp(x0) + sin(sin(x2 + -0.6162698))) * -0.7563964) + -1.0072857)) + (sin(sin(inv(((exp(x0 + (x1 * 1.3718052)) + ((x2 + (sin(exp(x0 + x2) + (((x0 / 0.437356) + 0.68954504) + x2)) + ((x2 + -1.8082011) * 1.3357159))) + x1)) * -1.0017501) + x2) + 1.880829) + ((exp((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857) + x2) + x0)) * -14.150905)) + 0.6246508)) + sin(exp(x2 + x2))) * x1))) + (((x0 + (x2 * x2)) * 0.9048655) + -14.402652)"
151,1.196407,"((x0 + (-14.402652 + sin(x1 * x1))) + (((sin(exp(exp(x2 + sin(0.6086879 + x2)))) + (sin(((x2 + ((((x2 / 0.4479178) + -1.810421) / -0.21392259) + -1.0072857)) + ((sin(x1) + exp(x0 + sin(sin((x1 + (x2 + (exp(((x0 + x2) + ((x2 * -1.7896771) + (x0 + x2))) + 0.50924075) + 0.448203))) + (sin(x1 + 16.259516) * sin(-0.77670413))) + (sin(x2) + (exp(x1 + x0) + (exp((x2 + -2.2223701) * (x1 + x2)) + -0.7209773)))))) * -0.7563964)) + (sin(x2 + ((x0 + sin(inv(((sin(sin(exp(-1.0072858))) + (((x2 + -1.8082011) * 1.3357159) + (x2 + exp((x0 + (x0 + x2)) * 1.3718052)))) * -1.0017501) + x2) + 1.880829)) + exp((((x2 / 0.4479178) + -1.8104212) / -0.21392258) + -1.0072855))) * -14.150905)) + sin(exp(x2 + x2)))) * x1) + (x0 + x2))) + -0.25755423"
164,1.1922724,"(x0 + (sin(x1 * x1) + (((x1 * (sin(exp(exp(sin(x2 + 0.6086883) + x2))) + (sin((x2 + ((((x2 / 0.44791782) + -1.810421) / -0.21392265) + -1.0072857)) + (((sin(x1) + exp(x0 + sin(((x2 + sin((x1 + exp(x0 + ((x2 + ((x2 * -1.7896771) + x0)) + (x2 + 0.50924075)))) + ((sin((x1 * x1) + -14.402652) * -0.7009325) + x1))) + sin(x2)) + (exp(x1 + x0) + (exp((x2 + -2.2223701) * (x1 + x2)) + -0.7209773))))) * -0.7563964) + (sin((x2 + x0) + (sin(inv(x2 + ((((((x2 + -1.8082011) * 1.3357159) + x2) + exp(x0 + ((x0 + x2) * 1.3718052))) + sin(sin(exp((((x2 / 0.44791764) + -1.8104208) / -0.21392217) + -1.007286)))) * -1.0017501)) + 1.880829) + exp((((x2 / 0.4479177) + -1.8104218) / -0.21392298) + -1.0072855))) * -14.150905))) + sin(exp(x2 + x2))))) + -14.402652) + x0))) + (x2 * ((x2 / 0.73635644) + -0.47961494))"
171,1.1886362,"((x0 + (sin(x1 * x1) + -14.402652)) + ((sin(exp(exp(sin(x2 + 0.608688) + x2))) + (sin(((x2 + (((x2 / 0.4479178) + -1.810421) / -0.21392262)) + ((sin(x1) + exp(sin(((x2 + sin((x0 + ((x2 + (x2 * -1.7896771)) + (((x1 * -0.8864564) + exp((x0 + x2) + 0.50924075)) + x2))) + 0.23732689)) + (exp(x1 + x0) + sin(x2))) + (exp((x1 + (x1 + x2)) * -0.42983362) + -0.77670413)) + x0)) * -0.7563964)) + ((sin(((sin(inv(((((x2 + exp((x0 + x1) * 1.3718051)) + x2) + (((x2 + -1.8082011) * 1.3357159) + sin((x2 + x2) + ((((((x2 + -1.7896771) * x2) + -1.789677) + (exp((x2 + x0) + 0.5092408) + sin(x1))) * -0.77670413) + 0.23732686)))) * -1.0017501) + x2) + 1.880829) + x2) + x0) + exp((((x2 / 0.4479175) + -1.810421) / -0.21392307) + -1.0072857)) * -14.150905) + -1.0072857)) + sin(exp(x2 + x2)))) * x1)) + ((x0 + (x2 * x2)) * 0.9132747)"
173,1.178631,"((x0 + (sin(x1 * x1) + -14.402652)) + ((sin(exp(exp(sin(x2 + 0.608688) + x2))) + (sin((x2 + (((x2 / 0.4479178) + -1.810421) / -0.21392262)) + (((sin(x1) + exp(sin((((x2 + sin(x0 + ((((x2 + (x2 * -1.7896771)) + (exp(x0 + (x2 + 0.50924075)) + (x1 * sin(-0.77670413)))) + x2) + 0.23732689))) + (exp(x1 + x0) + sin(x2))) + exp((x1 + (exp(x2) + x2)) * -0.42983362)) + -0.77670413) + x0)) * -0.7563964) + ((sin((sin(inv(((((x2 + exp(1.3718051 * (x0 + x1))) + x2) + (((x2 + -1.8082011) * 1.3357159) + sin((x2 + x2) + ((((((x2 + -1.7896771) * x2) + -1.789677) + (exp((x2 + x0) + 0.5092408) + sin(x1))) * -0.77670413) + 0.23732686)))) * -1.0017501) + x2) + 1.880829) + (x2 + x0)) + exp((((x2 / 0.4479175) + -1.810421) / -0.21392307) + -1.0072857)) * -14.150905) + -1.0072857))) + sin(exp(x2 + x2)))) * x1)) + ((x0 + (x2 * x2)) * 0.9132747)"
