Complexity,Loss,Equation
1,2.4223447,"-12.936967"
3,2.1173818,"x0 + -13.356943"
4,2.039652,"exp(x0) + -14.539411"
5,1.8739479,"x0 + (x1 + -13.790746)"
6,1.7909628,"exp(x1) + (x0 + -14.975258)"
7,1.742405,"((x1 + x0) * 1.7852273) + -14.461267"
8,1.7206888,"(x0 / 0.5454823) + (exp(x1) + -15.325104)"
9,1.7091643,"(((x1 * x1) + -7.815446) + x0) * 1.8185257"
11,1.7091179,"((x0 * 1.8020937) + -14.210802) + (x1 * (x1 * 1.8366503))"
12,1.6546178,"(cos(x1 * 24.406824) * x2) + (x1 + (x0 + -13.832743))"
13,1.6334333,"(((x1 + x0) + x2) / cos(cos(x2 * 2.2933338))) + -14.569462"
14,1.5607923,"(((x0 + x2) + x1) / cos(cos(exp(x2) * x2))) + -14.744745"
15,1.553983,"(((x1 + x0) + x2) / cos(cos((x2 * 2.7217655) * x2))) + -14.806063"
16,1.5095956,"(((x0 + x2) + x1) / cos(cos(x2 * exp(x2)) * 1.1364827)) + -14.99727"
17,1.5042292,"((x1 + (x0 + sin(x2))) / cos(cos(exp(x2) * x2) * 1.1382989)) + -14.947463"
18,1.4812157,"((x0 + (x1 + x2)) / sin(((x2 * (x2 * 2.1992142)) * x2) + 0.43784288)) + -15.041694"
19,1.4290017,"(x1 + x1) + ((x0 + -14.210603) + (x2 * (cos(x1 * 24.444294) + sin(x2 * 7.0541267))))"
21,1.3842465,"(((x0 + -14.636649) + (x1 + (x2 * (sin(x2 * 7.0844717) + cos(x1 * 24.331018))))) + x0) + x1"
22,1.3794584,"((((cos(x1 * 24.35064) + sin(x2 * 7.079078)) * x2) + x1) + sin(x0)) + (x1 + (x0 + -14.601513))"
23,1.3717809,"x0 + (((x2 + 0.11970491) * (cos(x1 * 24.310108) + sin(x2 * 7.0696))) + (((x1 + x1) + -14.656255) + x0))"
24,1.3320717,"((x1 + (x0 + -14.645552)) + ((cos(x1 * 24.358006) + exp((cos(x2 * -4.947114) * 3.8081214) * x1)) * x2)) + x0"
25,1.3305295,"((x2 * (exp(cos(x2 * -4.9489512) * (x1 * 3.801136)) + cos(x1 * 24.379684))) + x1) + ((x0 + -14.611213) + sin(x0))"
26,1.3192884,"((x1 + (x0 + -13.827767)) + x0) + (sin(((x1 * sin(x2 * 7.408657)) * 2.4508443) + 24.367254) + (x2 * cos(x1 * 24.390787)))"
27,1.3156545,"(sin(x0) + (((cos(x1 * 24.407404) * x2) + x1) + (sin(((x1 * sin(x2 * 7.4012594)) + 7.392286) * 2.4468894) + -13.793788))) + x0"
28,1.2986393,"(x0 + -13.876429) + ((x1 + (cos(x1 * 24.376387) * (x2 + 0.2079866))) + (sin(((x1 * sin(x2 * 7.383625)) + -0.28914303) * 2.5450933) + x0))"
29,1.2933656,"sin(((x1 * sin(x2 * 7.3962765)) + -0.29033858) * 2.568021) + ((x0 + ((x1 + (cos(x1 * 24.391129) * exp(x2 + -0.88491684))) + -13.881645)) + x0)"
30,1.282942,"x0 + ((sin((((x1 * 4.979524) * x2) * cos(x2 * 4.8627787)) + x0) + (x1 + (cos(x1 * 24.55262) * x2))) + (-14.735541 + (x1 + x2)))"
31,1.279302,"(x0 + (((cos(x1 * 24.544924) * x2) + (x1 + -14.731062)) + (x1 + x2))) + sin(x0 + ((x1 * 5.3359823) * sin(x2 * cos(x2 * 4.8566127))))"
32,1.2625998,"(x0 + (((x2 + 0.20443238) * cos(x1 * 24.539085)) + -14.7594595)) + ((sin(x0 + (((x2 * x1) * 5.1464725) * cos(x2 * 4.878064))) + x1) + (x2 + x1))"
33,1.2462677,"(x0 + -14.722443) + ((x1 + ((x2 + x1) + sin(x0 + ((x1 * 3.5577831) * sin((cos(x2 * 4.8048387) * 3.3757246) * x2))))) + (cos(x1 * 24.300564) * x2))"
35,1.2314256,"((x1 + x2) + ((sin((x1 * (sin(x2 * (cos(x2 * 4.8120785) * 3.2909029)) * 3.51117)) + x0) + -14.739557) + x0)) + (x1 + (cos(x1 * 24.29513) * (x2 + 0.17772709)))"
36,1.2293326,"(x1 + (sin(x0 + ((x1 * 3.5382583) * sin((cos(x2 * 4.807516) * x2) * 3.3574572))) + x2)) + (x0 + ((sin(x2 + x0) * cos(x1 * 24.262403)) + (x1 + -14.754619)))"
37,1.222594,"(x1 + ((x1 + sin(x0 + ((sin(cos(x2 * 4.8134646) * (x2 * 3.2916057)) * x1) * (x1 + 2.7563968)))) + ((x2 + -14.763929) + (cos(x1 * 24.266214) * (x2 + 0.1723632))))) + x0"
38,1.2111101,"x0 + (((x2 + x1) + -14.031667) + (sin((sin(x0 + (sin((x2 * 3.7771878) * cos(x2 * 4.8062634)) * (x1 * 2.4917262))) * (x1 * 2.893404)) + -0.46170393) + (x2 * cos(x1 * 24.29306))))"
39,1.2072259,"((sin(x2) + x1) + (x0 + (sin((x1 * (sin((x1 * (sin((x2 * 3.805278) * cos(x2 * 4.8135796)) * 2.4921243)) + x0) * 2.8946867)) + -0.48573095) + -13.984757))) + (x2 * cos(x1 * 24.26353))"
40,1.1912619,"(x2 * cos(x1 * 24.124147)) + ((((x0 + -11.597651) + (x1 + x2)) + sin(x1 * ((sin(x0 + (sin(cos(x2 * 4.7959075) * (x2 * 3.7638986)) * (x1 * 2.570994))) * 2.8367636) + -0.6268855))) * 1.2528944)"
