Complexity,Loss,Equation
1,2.4223447,"-12.936968"
3,2.1173818,"x0 + -13.356943"
4,2.0396523,"exp(x0) + -14.5394745"
5,1.8739481,"x0 + (x1 + -13.791263)"
6,1.7466633,"sinh(x0 + x1) + -14.008834"
7,1.742405,"((x1 + x0) * 1.7852271) + -14.461268"
8,1.7206892,"exp(x1) + ((x0 * 1.8335199) + -15.325271)"
9,1.7091643,"((x0 + (x1 * x1)) * 1.818471) + -14.21257"
10,1.7084008,"cosh(x1 * -1.7199433) + ((x0 * 1.7981691) + -15.175834)"
11,1.705084,"((sinh(x1 * x1) + sinh(x0)) * 1.5989931) + -14.152865"
12,1.6475359,"((x0 + x1) * cosh(cosh(exp(x2) + -1.8039732))) + -14.42337"
13,1.5774052,"((x0 + x1) * cosh(cosh(x2 * -2.0852196) + -2.3721287)) + -14.306322"
14,1.5522147,"((x1 * cosh(cosh(x2 * -2.220311) + -2.5935304)) + exp(x0)) + -15.353927"
15,1.5351423,"((x0 * 1.9085878) + -14.55936) + (x1 * cosh(cosh(x2 * 2.224774) + -2.6061034))"
16,1.4969202,"(cosh(sinh(sinh(x2 * 1.3522499)) + -1.6791873) * (x0 + (x1 + x2))) + -14.99472"
17,1.4887751,"((x1 + (x0 + x2)) * cosh(sinh((x2 + 0.79030985) * x2) + -1.6269889)) + -15.022023"
18,1.4846624,"((x1 + (x0 + x2)) * cosh(sinh(exp(x2 + -0.41300794) * x2) + -1.5915239)) + -15.064622"
20,1.4803847,"((x0 + -14.861108) + (x2 + (x1 * (((x2 + -1.0138698) * cosh(x2 * 4.484782)) + 3.7179673)))) + x0"
21,1.4578665,"(((((x2 + -1.0146166) * cosh(x2 * 4.603698)) + 3.7280526) * x1) + -13.227485) + log(x0 + (x2 + 0.068823084))"
22,1.4455265,"((x1 * ((cosh(x2 * 4.6357617) * (x2 + -1.0199102)) + 3.8014624)) + log(sinh(x0 + x2) + 0.091219604)) + -13.3975935"
23,1.4215016,"((x1 * ((x1 * 3.620083) + ((x2 + -1.0125146) * cosh(x2 * 4.5015674)))) + -12.686965) + log((x0 + x2) + 0.060108703)"
24,1.4121685,"((((x1 * 3.6839797) + ((x2 + -1.0184745) * cosh(x2 * 4.533739))) * x1) + -12.841123) + log(sinh(x2 + x0) + 0.079339184)"
25,1.4085045,"log(x0 + ((x2 + 0.09092542) * 0.57330126)) + ((x1 * (((x2 + -1.0069805) * cosh(x2 * 4.4374104)) + (x1 * 3.4896605))) + -12.462704)"
26,1.40317,"(log(sinh(x0 + x2) + 0.07929776) + -12.974884) + (((x1 * 2.872553) + (((x2 + -1.0005295) * exp(x2 * 3.800075)) * x2)) * x1)"
27,1.3956345,"(x1 * (((x0 + (exp(x2 * 3.8293936) * (x2 + -1.0009248))) * x2) + (x1 * 2.7093456))) + (log((x0 + x2) + 0.064880356) + -12.840164)"
28,1.3839223,"((((((x2 + -0.9863601) * exp(x2 * 3.6604013)) * x2) + (x1 * 2.6784148)) * x1) + -13.376586) + sinh(log(x2 + (x0 + (x0 + 0.21533898))))"
29,1.3774555,"((log(sinh(sinh((x0 + 0.0135859195) + x2))) * 0.6209943) + -13.098633) + (x1 * (((exp(x2 * 3.7306733) * x2) * (x2 + -1.0034407)) + (x1 * 2.8661025)))"
30,1.3689924,"(x1 * ((x1 * 2.6807883) + (x2 * ((x2 + -0.98462075) * exp(x2 * 3.6081288))))) + ((sinh(x0 + log((x0 + x2) + 0.11222441)) * 0.55633134) + -13.276544)"
31,1.3613023,"((x1 * ((x1 * 2.69004) + ((x2 * (x2 + -0.98878366)) * exp(x2 * 3.5572774)))) + -13.379888) + (sinh(log(sinh((x2 + x0) + (x0 + 0.081844196)))) * 0.40653107)"
32,1.3581871,"((x1 * (((x2 + -0.98524857) * (x2 * exp(sinh(x2) * 3.2106016))) + (x1 * 2.604764))) + -13.387835) + (sinh(log(sinh((x2 + (x0 + x0)) + 0.08223654))) * 0.4042622)"
33,1.3577337,"(sinh(log(sinh((x0 + x2) + x0) + 0.08704892)) * 0.43103892) + ((x1 * (((x2 * exp(x2 * 3.6781988)) * (x2 + -1.0033946)) + (x1 * (x2 + 2.4254026)))) + -13.338058)"
35,1.3572378,"(x1 + ((((x1 * 4.664047) + ((exp(x2 * 2.18341) * (x2 + -1.043217)) * 6.3796244)) * x1) * ((x1 * -0.54098475) + x2))) + (sinh(log(sinh(x2 + (x0 + 0.1808471)))) + -13.080173)"
36,1.3491822,"(x1 + (((x2 + (x1 * -0.54387456)) * (x1 * (((sinh(exp(x2 * 1.2072041)) * 5.9388638) * (x2 + -1.022725)) + (x1 * 4.7372913)))) + -13.106665)) + sinh(log(sinh((x0 + x2) + 0.18135147)))"
37,1.343847,"(sinh(log(sinh(x0 + (x2 + 0.18149577)))) + -13.124129) + ((x1 * ((sinh(x1 * 2.2414536) + (((x2 + -1.0140706) * 5.709301) * sinh(exp(x2 * 1.1962757)))) * (x2 + (x1 * -0.5577172)))) + x1)"
39,1.3421236,"(((sinh(x1 * (x1 * 2.1372366)) + (sinh(exp(x2 * 1.208715)) * ((x2 + -1.0021772) * 5.229445))) * x1) * (x2 + (x1 * -0.57101417))) + ((x1 + -13.156394) + sinh(log(sinh((x0 + x2) + 0.18393311))))"
